Weights
[[ 0.55600031+0.j  0.93101826+0.j -0.7864883 +0.j -0.36102902+0.j]]
[[ 0.55574627+0.j  0.93265248+0.j -0.78912369+0.j -0.36146223+0.j]]
[[ 0.5540187 +0.j  0.93516797+0.j -0.7891194 +0.j -0.36024518+0.j]]
[[ 0.5548134 +0.j  0.93474965+0.j -0.79121002+0.j -0.36064671+0.j]]
[[ 0.554212  +0.j  0.93458263+0.j -0.78834557+0.j -0.36082542+0.j]]
[[ 0.55550653+0.j  0.93211963+0.j -0.78728856+0.j -0.3616029 +0.j]]
[[ 0.55438436+0.j  0.93602034+0.j -0.79262242+0.j -0.36132283+0.j]]
[[ 0.55421883+0.j  0.93342466+0.j -0.78587905+0.j -0.36099632+0.j]]
[[ 0.55294929+0.j  0.93726328+0.j -0.79089237+0.j -0.3598539 +0.j]]
[[ 0.55474821+0.j  0.93359799+0.j -0.78769499+0.j -0.36066041+0.j]]
[[ 0.55569241+0.j  0.93216628+0.j -0.78771454+0.j -0.36172716+0.j]]
[[ 0.55349148+0.j  0.93770738+0.j -0.79358602+0.j -0.36192974+0.j]]
[[ 0.55595528+0.j  0.93309272+0.j -0.79086583+0.j -0.36077855+0.j]]
[[ 0.55522246+0.j  0.93306754+0.j -0.78823997+0.j -0.3604435 +0.j]]
[[ 0.55477068+0.j  0.9349307 +0.j -0.79108504+0.j -0.36125093+0.j]]
[[ 0.55608317+0.j  0.93305988+0.j -0.79109252+0.j -0.36307171+0.j]]
[[ 0.55583092+0.j  0.93157858+0.j -0.78684286+0.j -0.36204422+0.j]]
[[ 0.5548516 +0.j  0.93346511+0.j -0.78781394+0.j -0.36138655+0.j]]
[[ 0.55613251+0.j  0.93125064+0.j -0.78740668+0.j -0.36079326+0.j]]
[[ 0.55496179+0.j  0.93253888+0.j -0.78631236+0.j -0.36107884+0.j]]
[[ 0.55639527+0.j  0.93222643+0.j -0.79030885+0.j -0.35996127+0.j]]
[[ 0.55541408+0.j  0.93383426+0.j -0.7908202 +0.j -0.36181078+0.j]]
[[ 0.55472481+0.j  0.93482956+0.j -0.791228  +0.j -0.36018992+0.j]]
[[ 0.55492641+0.j  0.93409271+0.j -0.78948079+0.j -0.3624395 +0.j]]
[[ 0.55581133+0.j  0.93352178+0.j -0.79107033+0.j -0.36232218+0.j]]
[[ 0.55411126+0.j  0.93623036+0.j -0.79232698+0.j -0.36012966+0.j]]
[[ 0.55488526+0.j  0.93355495+0.j -0.78859445+0.j -0.36143775+0.j]]
[[ 0.55551831+0.j  0.93379187+0.j -0.79124941+0.j -0.36037676+0.j]]
[[ 0.55476054+0.j  0.93486182+0.j -0.7912099 +0.j -0.36011982+0.j]]
[[ 0.55514921+0.j  0.93334687+0.j -0.78910722+0.j -0.36124252+0.j]]
