Modelo,Max_Accuracy,F1_Score_Correspondente
IQCNDsE_Coluna,0.9718954248366014,0.9726660703131292
IQC_AIL_Coluna,0.961111111111111,0.9624719724719724
IQC_Coluna,0.961111111111111,0.9624719724719724
IQCNDsE_Linha,0.6179738562091504,0.4915457891544847
IQC_Linha,0.5444444444444445,0.4589189296542238
IQC_AIL_Linha,0.5444444444444445,0.4589189296542238
IQCpQ_tgt2_Coluna,0.3993464052287582,0.1901111111111111
IQCpQ_tgt2_Linha,0.269281045751634,0.1413388543823326
IQC_Angle_Linha,0.269281045751634,0.1413388543823326
IQC_Angle_Coluna,0.269281045751634,0.1413388543823326
