Modelo,Media_Accuracy,Max_Accuracy,Min_Accuracy,Std_Accuracy,Media_F1_Scores,Max_F1_Scores,Min_F1_Scores,Std_F1_Scores
IQCNDsE_Coluna,0.9580174291938999,0.9718954248366014,0.9375816993464052,0.009439837639247375,0.9591564829506005,0.973053613053613,0.9384753264165028,0.009379233563212241
IQCNDsE_Linha,0.5520479302832245,0.6179738562091504,0.4892156862745097,0.03343657459005973,0.4076209913541586,0.4915457891544847,0.3328394504046678,0.042177013902722126
IQCpQ_tgt2_Coluna,0.3993464052287583,0.3993464052287582,0.3993464052287582,1.1292025708167404e-16,0.19011111111111115,0.1901111111111111,0.1901111111111111,5.646012854083702e-17
IQCpQ_tgt2_Linha,0.269281045751634,0.269281045751634,0.269281045751634,0.0,0.14133885438233257,0.1413388543823326,0.1413388543823326,2.823006427041851e-17
IQC_AIL_Coluna,0.9491721132897601,0.961111111111111,0.9209150326797386,0.008638036091473648,0.9504908725987158,0.9624719724719724,0.9231631331631333,0.00837799480771789
IQC_AIL_Linha,0.507755991285403,0.5444444444444445,0.4669934640522875,0.020262334551858076,0.4263007840304022,0.4696009374182749,0.3794368476953616,0.024252552078422213
IQC_Angle_Coluna,0.269281045751634,0.269281045751634,0.269281045751634,0.0,0.14133885438233257,0.1413388543823326,0.1413388543823326,2.823006427041851e-17
IQC_Angle_Linha,0.269281045751634,0.269281045751634,0.269281045751634,0.0,0.14133885438233257,0.1413388543823326,0.1413388543823326,2.823006427041851e-17
IQC_Coluna,0.9491721132897601,0.961111111111111,0.9209150326797386,0.008638036091473648,0.9504908725987158,0.9624719724719724,0.9231631331631333,0.00837799480771789
IQC_Linha,0.5084967320261438,0.5444444444444445,0.4669934640522875,0.020313353628408456,0.42714231903860395,0.4696009374182749,0.3794368476953616,0.024242612999106527
