,1,2,3,4,5,6,7,8,9,10
1,1.00000,0.00000,0.72772,0.00000,0.00000,0.00000,0.01475,0.00000,0.00000,0.00000
2,0.00000,1.00000,0.00000,0.72772,0.00000,0.00000,0.00000,0.00000,0.00001,0.22014
3,0.72772,0.00000,1.00000,0.00000,0.00000,0.00000,0.01604,0.00000,0.00000,0.00000
4,0.00000,0.72772,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.28372
5,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000
6,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000
7,0.01475,0.00000,0.01604,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000
8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000
9,0.00000,0.00001,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
10,0.00000,0.22014,0.00000,0.28372,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
