,1,2,3,4,5,6,7,8,9,10
1,1.00000,0.00000,0.72772,0.00000,0.00000,0.00000,0.22065,0.00000,0.00000,0.00000
2,0.00000,1.00000,0.00000,0.72772,0.00000,0.00000,0.00000,0.00000,0.00000,0.16325
3,0.72772,0.00000,1.00000,0.00000,0.00000,0.00000,0.25344,0.00000,0.00000,0.00000
4,0.00000,0.72772,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.14028
5,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000
6,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000
7,0.22065,0.00000,0.25344,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000
8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000
9,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
10,0.00000,0.16325,0.00000,0.14028,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
