Negativity_Class_0,Negativity_Class_1,Negativity_Class_2
0.4602660230289806,0.45892265993928427,0.4492546921822977
0.45887445767818746,0.457387948938206,0.44759591851724984
0.46018732199648255,0.4587926155836278,0.4492433112584446
0.46023009889689226,0.45861771379623467,0.44951201366911525
0.4595522199769732,0.45842951364942197,0.44814824283997323
0.46101179920925767,0.4597548429275372,0.45028156484798226
0.458962251294845,0.4573210055867202,0.44767254198923545
0.4593487710151286,0.45764186848961125,0.44783177004767777
0.4596963768170875,0.45833598558548105,0.44907733702464236
0.46030690532625285,0.4587709563810468,0.44912246174368475
0.46108822249170417,0.4598898874447922,0.4503559360918571
0.46034260162117546,0.458973826541449,0.4490216493689541
0.46049654549705527,0.4593381786286773,0.4495507951515654
0.459457264660361,0.45786280986061945,0.44830557936118626
0.46026566439124883,0.4586949727038302,0.4492943569803291
0.4594250089013766,0.4580647152331162,0.4484500439688355
0.4599965776242074,0.4586992949508977,0.44890949162772265
0.45891216312252886,0.4572609711358913,0.44776399795437455
0.4612276134410214,0.45988540463102734,0.45042691132892443
0.458320390037451,0.4566358739607419,0.4470238940100555
0.46024791308744073,0.4586981704307294,0.44920331550524334
0.46023654927767266,0.45881236492299643,0.449284609285504
0.4594656841476309,0.45790922432281517,0.44801661206028565
0.459239659019406,0.45781102250180383,0.44807982884905373
0.4600578107763855,0.45875220638348313,0.44923206780945363
0.4609505338056201,0.4596077942933138,0.4502440169564861
0.45930967195117517,0.4576635196158302,0.4480568123467081
0.4597105112939669,0.45812181122196627,0.44835514761022593
0.4591470703308499,0.4576058684225516,0.4477696127288125
0.4608770676357105,0.4597762655206239,0.4498286857395833
