Accuracy,F1_Scores
0.9,0.8941752691752691
0.9133333333333333,0.9122053872053872
0.9333333333333333,0.9305977355977356
0.8666666666666668,0.8552743552743551
0.8466666666666667,0.8233636733636732
0.86,0.8472481222481221
0.8533333333333333,0.8336496836496835
0.9200000000000002,0.9152190402190403
0.8800000000000001,0.867905242905243
0.8866666666666667,0.8804774854774855
0.8800000000000001,0.871073926073926
0.8466666666666665,0.8348244348244347
0.9266666666666667,0.9233081733081733
0.9066666666666668,0.9045959595959596
0.8799999999999999,0.8762626262626261
0.9066666666666668,0.9055723905723907
0.9200000000000002,0.9175084175084175
0.9133333333333334,0.90997483997484
0.86,0.844151219151219
0.8666666666666666,0.8549459799459799
0.8800000000000001,0.871073926073926
0.8800000000000001,0.8695841195841195
0.9066666666666668,0.9026852776852776
0.8733333333333334,0.8628501128501128
0.8866666666666667,0.8824832574832575
0.8866666666666667,0.8792809042809043
0.8933333333333333,0.8875759425759426
0.8866666666666667,0.8776732526732527
0.9266666666666667,0.9233081733081733
0.8666666666666666,0.8537049987049988
