,1,2,3,4,5,6,7,8,9,10,11,12
1,1.0,0.0,0.0,0.0,0.0,0.0,0.14028,0.0,0.0,0.0,0.16326,0.0
2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25344,0.0,0.0,0.0,0.22065
5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.14028,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.72772,0.0
8,0.0,0.0,0.0,0.25344,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.72772
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11,0.16326,0.0,0.0,0.0,0.0,0.0,0.72772,0.0,0.0,0.0,1.0,0.0
12,0.0,0.0,0.0,0.22065,0.0,0.0,0.0,0.72772,0.0,0.0,0.0,1.0
