Accuracy,F1_Scores
0.9600000000000002,0.9591750841750841
0.9533333333333334,0.9528619528619527
0.9533333333333334,0.9521548821548821
0.96,0.9597306397306398
0.9533333333333334,0.9526430976430976
0.9533333333333334,0.9529292929292928
0.96,0.9591750841750841
0.9400000000000001,0.9367761867761868
0.9466666666666667,0.9459595959595959
0.9533333333333334,0.9529292929292928
0.9600000000000002,0.9593097643097643
0.96,0.9591750841750841
0.9533333333333334,0.952996632996633
0.9533333333333334,0.9524410774410773
0.9533333333333334,0.9525757575757575
0.96,0.9596632996632997
0.96,0.9594276094276093
0.96,0.9591750841750841
0.9533333333333334,0.9520202020202021
0.9533333333333334,0.9528619528619527
0.9533333333333334,0.9524410774410773
0.9533333333333334,0.9524410774410773
0.96,0.9597979797979799
0.9466666666666667,0.9458417508417508
0.96,0.9591750841750841
0.9466666666666667,0.9463299663299664
0.9533333333333334,0.9529292929292928
0.9466666666666667,0.946127946127946
0.9533333333333334,0.9529292929292928
0.9600000000000002,0.9597306397306398
