Weights
[[ 0.36116719+0.j  1.12536536+0.j -0.77844877+0.j -0.29122245+0.j]]
[[ 0.36144484+0.j  1.12646707+0.j -0.78148945+0.j -0.29264331+0.j]]
[[ 0.36140828+0.j  1.12568433+0.j -0.78103962+0.j -0.2873523 +0.j]]
[[ 0.35927785+0.j  1.12834809+0.j -0.78405637+0.j -0.28971865+0.j]]
[[ 0.35892212+0.j  1.12768373+0.j -0.78053845+0.j -0.28910587+0.j]]
[[ 0.36119686+0.j  1.12471351+0.j -0.778408  +0.j -0.28907378+0.j]]
[[ 0.36113567+0.j  1.12826694+0.j -0.78590718+0.j -0.29297499+0.j]]
[[ 0.35949484+0.j  1.12634646+0.j -0.77719153+0.j -0.28998979+0.j]]
[[ 0.35610404+0.j  1.1302525 +0.j -0.78339175+0.j -0.2874599 +0.j]]
[[ 0.35906119+0.j  1.1278305 +0.j -0.77933862+0.j -0.29112787+0.j]]
[[ 0.36121694+0.j  1.12592677+0.j -0.77941778+0.j -0.29156182+0.j]]
[[ 0.35977348+0.j  1.12917685+0.j -0.7858109 +0.j -0.29352317+0.j]]
[[ 0.3625076 +0.j  1.125697  +0.j -0.78283886+0.j -0.2898338 +0.j]]
[[ 0.35894867+0.j  1.12755866+0.j -0.78069518+0.j -0.28780336+0.j]]
[[ 0.3590083 +0.j  1.12860524+0.j -0.78296604+0.j -0.29141258+0.j]]
[[ 0.35948723+0.j  1.12945343+0.j -0.78334377+0.j -0.29822617+0.j]]
[[ 0.36098845+0.j  1.12662168+0.j -0.77927139+0.j -0.29455504+0.j]]
[[ 0.35814415+0.j  1.128682  +0.j -0.77990957+0.j -0.29330775+0.j]]
[[ 0.35961419+0.j  1.12683868+0.j -0.78105075+0.j -0.28669256+0.j]]
[[ 0.35937359+0.j  1.12749574+0.j -0.78078549+0.j -0.28990911+0.j]]
[[ 0.36207631+0.j  1.12605398+0.j -0.78353399+0.j -0.2875904 +0.j]]
[[ 0.3603137 +0.j  1.12709742+0.j -0.77936433+0.j -0.29245018+0.j]]
[[ 0.36083379+0.j  1.1266431 +0.j -0.78313239+0.j -0.28794622+0.j]]
[[ 0.36065052+0.j  1.12773254+0.j -0.78117822+0.j -0.29616972+0.j]]
[[ 0.3618157 +0.j  1.12788261+0.j -0.78370167+0.j -0.29717075+0.j]]
[[ 0.35943077+0.j  1.12825655+0.j -0.78476354+0.j -0.28805657+0.j]]
[[ 0.35855822+0.j  1.12905879+0.j -0.78203833+0.j -0.29305436+0.j]]
[[ 0.36117088+0.j  1.12672825+0.j -0.78379455+0.j -0.28788971+0.j]]
[[ 0.35940452+0.j  1.12836424+0.j -0.78326958+0.j -0.28901136+0.j]]
[[ 0.35982964+0.j  1.12724972+0.j -0.78130299+0.j -0.29073028+0.j]]
