Negativity_Class_0,Negativity_Class_1,Negativity_Class_2
0.10943877979117,0.15454646195069227,0.16360303444491925
0.11040840275986274,0.1547914571507843,0.16363804692668948
0.11006852177315114,0.15411835702918297,0.16320650890350105
0.11189943608504287,0.15636396059999413,0.16529334761107006
0.11029939261682715,0.15448382726795332,0.16336311548331767
0.11165136000280015,0.15425006024168067,0.16301719531032374
0.11007158406378333,0.1553818583795444,0.16434081794167912
0.11094223284792011,0.1555568174404553,0.16442463156309342
0.11081123443939218,0.15423761753708076,0.16313856357358186
0.11106405467423049,0.15401965277013235,0.16274076655942202
0.11139806210652137,0.15615099104781366,0.1650787388272171
0.10919041674386565,0.15357836429233135,0.16257997659893425
0.11162510973619402,0.15569011594828341,0.16467037178752525
0.11146112958706825,0.1555841701624833,0.16463402101245922
0.11071037143046189,0.15554830640007816,0.16448518539464624
0.11113896272929218,0.1564003594252881,0.1654372832792681
0.10908853297254602,0.15305950195925336,0.1620755597452132
0.11148324739562146,0.15659554961713706,0.1654452839338262
0.10701484089542816,0.1515529772374021,0.1602729619901198
0.11075327490963474,0.15325977726023912,0.16214440149335946
0.11132916248288989,0.15434399498272727,0.1630600845447476
0.11191363561098926,0.15566687232500326,0.1647023704088059
0.11333716584594174,0.15575276776792427,0.16459198447624773
0.11074570753589837,0.15520727397222203,0.16408865271574996
0.11136729020688474,0.15620125472020682,0.16519109949474314
0.11127188440245328,0.15579828945200927,0.16475402753233476
0.1097546939809079,0.15458113282083175,0.16350826532778165
0.11136542444884978,0.15552260965700318,0.1644412444245535
0.10908972891705655,0.15436315589153518,0.16346494238177905
0.11006343214957068,0.15487032870014522,0.1637952738850385
