,1,2,3,4,5,6,7,8,9,10,11,12
1,1.0,0.87918,0.04497,0.67456,0.04533,0.1556,0.00036,0.00237,0.0,0.0,0.00036,0.00237
2,0.87918,1.0,0.05578,0.79374,0.05619,0.10122,0.00015,0.00294,0.0,0.0,0.00015,0.00294
3,0.04497,0.05578,1.0,0.05397,0.83597,0.85297,0.0,2e-05,0.0,0.0,0.0,2e-05
4,0.67456,0.79374,0.05397,1.0,0.05904,0.13293,2e-05,0.00158,0.0,0.0,2e-05,0.00158
5,0.04533,0.05619,0.83597,0.05904,1.0,0.8045,0.0,3e-05,0.0,0.0,0.0,3e-05
6,0.1556,0.10122,0.85297,0.13293,0.8045,1.0,1e-05,1e-05,0.0,0.0,1e-05,1e-05
7,0.00036,0.00015,0.0,2e-05,0.0,1e-05,1.0,0.12111,0.0,0.0,1.0,0.12111
8,0.00237,0.00294,2e-05,0.00158,3e-05,1e-05,0.12111,1.0,0.0,0.0,0.12111,1.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0
11,0.00036,0.00015,0.0,2e-05,0.0,1e-05,1.0,0.12111,0.0,0.0,1.0,0.12111
12,0.00237,0.00294,2e-05,0.00158,3e-05,1e-05,0.12111,1.0,0.0,0.0,0.12111,1.0
