,1,2,3,4,5,6,7,8,9,10,11,12
1,1.0,0.72183,0.0,0.0,0.0,0.0,0.58376,0.71126,0.0,0.0,0.58376,0.71126
2,0.72183,1.0,0.0,0.0,0.0,0.0,0.24495,0.43188,0.0,0.0,0.24495,0.43188
3,0.0,0.0,1.0,0.25347,0.05463,0.01004,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.25347,1.0,0.3664,0.15869,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.05463,0.3664,1.0,0.75477,0.0,0.0,1e-05,1e-05,0.0,0.0
6,0.0,0.0,0.01004,0.15869,0.75477,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.58376,0.24495,0.0,0.0,0.0,0.0,1.0,0.8693,0.0,0.0,1.0,0.8693
8,0.71126,0.43188,0.0,0.0,0.0,0.0,0.8693,1.0,0.0,0.0,0.8693,1.0
9,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11,0.58376,0.24495,0.0,0.0,0.0,0.0,1.0,0.8693,0.0,0.0,1.0,0.8693
12,0.71126,0.43188,0.0,0.0,0.0,0.0,0.8693,1.0,0.0,0.0,0.8693,1.0
