Accuracy,F1_Scores
0.49333333333333335,0.35514999516367507
0.49333333333333335,0.3518169900095345
0.4766666666666667,0.34086613730910237
0.5,0.3732297134654282
0.4766666666666667,0.3272005772005772
0.47333333333333333,0.3355578454073666
0.4766666666666667,0.33807662071170963
0.47000000000000003,0.3338262436757649
0.4966666666666667,0.3584776334776335
0.49000000000000005,0.34991657339468557
0.4866666666666667,0.34669159101272645
0.48,0.3388045986541198
0.4833333333333334,0.34104691383248154
0.48666666666666664,0.35309117656928873
0.5,0.3694044337255692
0.48,0.35339827666237716
0.48666666666666664,0.3527986570374146
0.49333333333333335,0.3604964413531445
0.49333333333333335,0.35507888724346653
0.4833333333333333,0.35056625222322896
0.48999999999999994,0.3546063280844403
0.4833333333333333,0.35157602505413726
0.48,0.3392769792906592
0.48666666666666664,0.3475666129735897
0.48666666666666664,0.3513035451148764
0.4633333333333334,0.32663742910835936
0.4833333333333334,0.34000935520232023
0.4833333333333333,0.34608360081171297
0.49333333333333335,0.3602954871166225
0.4833333333333333,0.35507224793959646
