Weights
[[ 0.22744829-1.31698587e-17j -4.07250801-1.04517844e-17j]]
[[-0.08000655+2.39821511e-18j -0.15804916-9.08683171e-19j]]
[[ 0.0975819 -5.64567659e-18j -1.84462665-6.01150268e-20j]]
[[-0.06489677+1.51766295e-18j -0.15932077-1.37039495e-19j]]
[[-0.06685232+2.33587470e-18j -0.16879012-3.44627663e-18j]]
[[ 0.1198878 -2.98719722e-18j -1.78351586+7.11748958e-19j]]
[[-0.06353665-3.86045605e-19j -0.16728046-1.80912923e-18j]]
[[-0.12587786+1.45847656e-18j -0.16337172-4.19350444e-18j]]
[[ -0.05278098+1.88111575e-16j -26.23068452-3.47265193e-17j]]
[[-0.01454358+4.79756209e-18j -0.46219188-7.92605447e-18j]]
[[ 0.07285646+3.67360223e-18j -1.81324923-4.20515805e-18j]]
[[ 0.08515639-3.42272148e-18j -1.14434057-2.13693120e-18j]]
[[ 0.10541179-1.17197079e-18j -2.43169398+2.54344628e-18j]]
[[-0.11684241+1.27404086e-18j -0.1933433 -2.45460911e-18j]]
[[ 0.09791042-2.37260944e-19j -1.52680485-4.86949831e-18j]]
[[-0.10890132-2.04418155e-18j -0.17364595-2.06200648e-18j]]
[[-0.06281231+1.13236862e-18j -0.15580895-1.82082804e-18j]]
[[ 0.10550795-4.33927534e-18j -1.47616353-1.69889603e-18j]]
[[-0.13575699+1.56428033e-18j -0.18210615-8.09463694e-19j]]
[[ 0.08235008+7.56546614e-19j -1.15619112-5.39164929e-18j]]
[[ 0.10445257+4.29274167e-19j -1.80249162-1.70325120e-19j]]
[[-0.07235373+2.84722483e-18j -0.16580547-1.13710077e-19j]]
[[-0.10399655+1.30957083e-18j -0.1692674 -1.61465558e-18j]]
[[-0.13102897+2.62663094e-18j -0.16792221-4.06520427e-18j]]
[[ 0.12070615-2.03204699e-19j -1.7761042 +3.92271858e-18j]]
[[-0.07785972+8.88266069e-19j -0.13741175-5.88930657e-19j]]
[[-0.11029653-1.4841729e-18j -0.18079489-5.0688977e-18j]]
[[ 0.1278704 -8.56787962e-18j -1.77151807-1.77221474e-18j]]
[[ 0.11202393-4.23858749e-18j -1.78322427-4.13133253e-18j]]
[[ 0.08582902-1.93247186e-18j -1.1396243 +6.02222569e-19j]]
