Modelo,Media_F1_Scores,Max_F1_Scores,Min_F1_Scores,Std_F1_Scores
IQC_Linha,0.8574714303848036,0.8622485126680557,0.8514253453745126,0.0028982931472285867
IQC_AIL_Linha,0.8574714303848036,0.8622485126680557,0.8514253453745126,0.0028982931472285867
IQC_Coluna,0.8285701795311263,0.8322887489959101,0.8238254066195243,0.00202737945130008
IQC_AIL_Coluna,0.8285701795311263,0.8322887489959101,0.8238254066195243,0.00202737945130008
IQCNDsE_Linha,0.7707313600977899,0.795538165256725,0.7363277812348533,0.01596832966379734
IQCNDsE_Coluna,0.7690393794909577,0.7925361743527761,0.7507184082711549,0.011638603933037108
IQCpQ_tgt2_Linha,0.5780929383671485,0.5945480856745019,0.5590901468383876,0.008964957007626496
IQCpQ_tgt2_Coluna,0.5503378474507339,0.5646307562893487,0.537600374067571,0.007648901968028946
IQC_Angle_Linha,0.3333333333333334,0.3333333333333333,0.3333333333333333,1.1292025708167404e-16
IQC_Angle_Coluna,0.3333333333333334,0.3333333333333333,0.3333333333333333,1.1292025708167404e-16
