Modelo,Max_Accuracy,Max_F1_Scores
IQCNDsE_Coluna,0.7933333333333334,0.7925361743527761
IQCNDsE_Linha,0.7966666666666666,0.795538165256725
IQCpQ_tgt2_Coluna,0.6033333333333333,0.5646307562893487
IQCpQ_tgt2_Linha,0.6300000000000001,0.5945480856745019
IQC_AIL_Coluna,0.8366666666666667,0.8322887489959101
IQC_AIL_Linha,0.8633333333333335,0.8622485126680557
IQC_Angle_Coluna,0.5,0.3333333333333333
IQC_Angle_Linha,0.5,0.3333333333333333
IQC_Coluna,0.8366666666666667,0.8322887489959101
IQC_Linha,0.8633333333333335,0.8622485126680557
