Modelo,Media_Accuracy,Max_Accuracy,Min_Accuracy,Std_Accuracy
IQC_Linha,0.8592222222222222,0.8633333333333335,0.8533333333333335,0.0027240005138562695
IQC_AIL_Linha,0.8592222222222222,0.8633333333333335,0.8533333333333335,0.0027240005138562695
IQC_Coluna,0.8337777777777776,0.8366666666666667,0.8300000000000001,0.002096034082766153
IQC_AIL_Coluna,0.8337777777777776,0.8366666666666667,0.8300000000000001,0.002096034082766153
IQCNDsE_Linha,0.7725555555555554,0.7966666666666666,0.74,0.015577843911950181
IQCNDsE_Coluna,0.7705555555555554,0.7933333333333334,0.7533333333333333,0.011315175898739389
IQCpQ_tgt2_Linha,0.6172222222222221,0.6300000000000001,0.6,0.007534509791839177
IQCpQ_tgt2_Coluna,0.5908888888888888,0.6033333333333333,0.5799999999999998,0.006944406130162494
IQC_Angle_Linha,0.5,0.5,0.5,0.0
IQC_Angle_Coluna,0.5,0.5,0.5,0.0
