Modelo,Max_Accuracy,F1_Score_Correspondente
IQC_Linha,0.8633333333333335,0.8620592816145882
IQC_AIL_Linha,0.8633333333333335,0.8620592816145882
IQC_Coluna,0.8366666666666667,0.8301834591332673
IQC_AIL_Coluna,0.8366666666666667,0.8301834591332673
IQCNDsE_Linha,0.7966666666666666,0.795538165256725
IQCNDsE_Coluna,0.7933333333333334,0.7925361743527761
IQCpQ_tgt2_Linha,0.6300000000000001,0.593934277176254
IQCpQ_tgt2_Coluna,0.6033333333333333,0.5637807240101151
IQC_Angle_Linha,0.5,0.3333333333333333
IQC_Angle_Coluna,0.5,0.3333333333333333
