Accuracy,F1_Scores
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
0.5,0.33333333333333337
