Modelo,Max_Accuracy,Max_F1_Scores
IQCNDsE_Coluna,0.9533333333333336,0.952020202020202
IQCNDsE_Linha,0.9600000000000002,0.95979797979798
IQCpQ_tgt2_Coluna,0.3733333333333333,0.2305727554179567
IQCpQ_tgt2_Linha,0.9333333333333332,0.9305977355977356
IQC_AIL_Coluna,0.9533333333333336,0.9529292929292928
IQC_AIL_Linha,0.92,0.9201696451696452
IQC_Angle_Coluna,0.3333333333333333,0.1666666666666666
IQC_Angle_Linha,0.3333333333333333,0.1666666666666666
IQC_Coluna,0.9600000000000002,0.9582491582491584
IQC_Linha,0.92,0.9201696451696452
