Modelo,Media_F1_Scores,Max_F1_Scores,Min_F1_Scores,Std_F1_Scores
IQCNDsE_Linha,0.953724189390856,0.95979797979798,0.9367761867761868,0.005558400049756876
IQC_Coluna,0.9400659402326069,0.9582491582491584,0.9189057239057238,0.01007329464331949
IQC_AIL_Coluna,0.9398414733414734,0.9529292929292928,0.9189057239057238,0.00972307980185006
IQCNDsE_Coluna,0.9363300649967315,0.952020202020202,0.9068061568061568,0.010416131301309783
IQCpQ_tgt2_Linha,0.8804184642517977,0.9305977355977356,0.8233636733636732,0.029560328844775646
IQC_AIL_Linha,0.8738703364536698,0.9201696451696452,0.8394866244866245,0.014069083830428066
IQC_Linha,0.8733563504396837,0.9201696451696452,0.8394866244866245,0.014716742653135153
IQCpQ_tgt2_Coluna,0.18751681764323658,0.2305727554179567,0.1666666666666666,0.012871591358361615
IQC_Angle_Linha,0.16666666666666666,0.1666666666666666,0.1666666666666666,5.646012854083702e-17
IQC_Angle_Coluna,0.16666666666666666,0.1666666666666666,0.1666666666666666,5.646012854083702e-17
