Modelo,Media_Accuracy,Max_Accuracy,Min_Accuracy,Std_Accuracy,Media_F1_Scores,Max_F1_Scores,Min_F1_Scores,Std_F1_Scores
IQCNDsE_Coluna,0.9382222222222224,0.9533333333333336,0.9133333333333334,0.009578605363788552,0.9363300649967315,0.952020202020202,0.9068061568061568,0.010416131301309783
IQCNDsE_Linha,0.9544444444444444,0.9600000000000002,0.94,0.0052765172925127776,0.953724189390856,0.95979797979798,0.9367761867761868,0.005558400049756876
IQCpQ_tgt2_Coluna,0.34511111111111104,0.3733333333333333,0.3333333333333333,0.007767371253784973,0.18751681764323658,0.2305727554179567,0.1666666666666666,0.012871591358361615
IQCpQ_tgt2_Linha,0.8884444444444445,0.9333333333333332,0.8466666666666665,0.024693265145590792,0.8804184642517977,0.9305977355977356,0.8233636733636732,0.029560328844775646
IQC_AIL_Coluna,0.9411111111111111,0.9533333333333336,0.9200000000000002,0.009441626805298137,0.9398414733414734,0.9529292929292928,0.9189057239057238,0.00972307980185006
IQC_AIL_Linha,0.8748888888888888,0.92,0.8400000000000001,0.01397132622828868,0.8738703364536698,0.9201696451696452,0.8394866244866245,0.014069083830428066
IQC_Angle_Coluna,0.3333333333333334,0.3333333333333333,0.3333333333333333,1.1292025708167404e-16,0.16666666666666666,0.1666666666666666,0.1666666666666666,5.646012854083702e-17
IQC_Angle_Linha,0.3333333333333334,0.3333333333333333,0.3333333333333333,1.1292025708167404e-16,0.16666666666666666,0.1666666666666666,0.1666666666666666,5.646012854083702e-17
IQC_Coluna,0.9413333333333334,0.9600000000000002,0.9200000000000002,0.009810464348233993,0.9400659402326069,0.9582491582491584,0.9189057239057238,0.01007329464331949
IQC_Linha,0.8744444444444444,0.92,0.8400000000000001,0.014445917991445935,0.8733563504396837,0.9201696451696452,0.8394866244866245,0.014716742653135153
