Modelo,Max_Accuracy,F1_Score_Correspondente
IQCNDsE_Linha,0.9600000000000002,0.959175084175084
IQC_Coluna,0.9600000000000002,0.9582491582491584
IQCNDsE_Coluna,0.9533333333333336,0.952020202020202
IQC_AIL_Coluna,0.9533333333333336,0.9515151515151516
IQCpQ_tgt2_Linha,0.9333333333333332,0.9305977355977356
IQC_AIL_Linha,0.92,0.9201696451696452
IQC_Linha,0.92,0.9201696451696452
IQCpQ_tgt2_Coluna,0.3733333333333333,0.2305727554179567
IQC_Angle_Linha,0.3333333333333333,0.1666666666666666
IQC_Angle_Coluna,0.3333333333333333,0.1666666666666666
