Modelo,Max_Accuracy,F1_Score_Correspondente
IQCNDsE_Linha,0.50333,0.41845
IQCpQ_tgt2_Coluna,0.50333,0.38269
IQCNDsE_Coluna,0.50000,0.40197
IQCpQ_tgt2_Linha,0.50000,0.37323
IQC_AIL_Coluna,0.50000,0.43109
IQC_Angle_Coluna,0.50000,0.33333
IQC_Coluna,0.50000,0.43109
IQC_Angle_Linha,0.50000,0.33333
IQC_AIL_Linha,0.49000,0.36989
IQC_Linha,0.49000,0.36989
