,1,2,3,4,5,6,7,8,9,10
1,1.00000,0.86930,1.00000,0.86930,0.00000,0.00000,0.00000,0.00000,0.43158,0.71112
2,0.86930,1.00000,0.86930,1.00000,0.00000,0.00000,0.00000,0.00000,0.24495,0.58376
3,1.00000,0.86930,1.00000,0.86930,0.00000,0.00000,0.00000,0.00000,0.43158,0.71112
4,0.86930,1.00000,0.86930,1.00000,0.00000,0.00000,0.00000,0.00000,0.24495,0.58376
5,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000
6,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000
7,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.25347,0.00000,0.00000
8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.25347,1.00000,0.00000,0.00000
9,0.43158,0.24495,0.43158,0.24495,0.00000,0.00000,0.00000,0.00000,1.00000,0.72183
10,0.71112,0.58376,0.71112,0.58376,0.00000,0.00000,0.00000,0.00000,0.72183,1.00000
