,1,2,3,4,5,6,7,8,9,10
1,1.00000,0.12111,1.00000,0.12111,0.00000,0.00000,0.00158,0.00002,0.00294,0.00303
2,0.12111,1.00000,0.12111,1.00000,0.00000,0.00000,0.00001,0.00000,0.00015,0.00036
3,1.00000,0.12111,1.00000,0.12111,0.00000,0.00000,0.00158,0.00002,0.00294,0.00303
4,0.12111,1.00000,0.12111,1.00000,0.00000,0.00000,0.00001,0.00000,0.00015,0.00036
5,0.00000,0.00000,0.00000,0.00000,1.00000,---,0.00000,0.00000,0.00000,0.00000
6,0.00000,0.00000,0.00000,0.00000,---,1.00000,0.00000,0.00000,0.00000,0.00000
7,0.00158,0.00001,0.00158,0.00001,0.00000,0.00000,1.00000,0.05381,0.79369,0.67443
8,0.00002,0.00000,0.00002,0.00000,0.00000,0.00000,0.05381,1.00000,0.05498,0.04403
9,0.00294,0.00015,0.00294,0.00015,0.00000,0.00000,0.79369,0.05498,1.00000,0.87918
10,0.00303,0.00036,0.00303,0.00036,0.00000,0.00000,0.67443,0.04403,0.87918,1.00000
