Modelo,Media_Accuracy,Max_Accuracy,Min_Accuracy,Std_Accuracy,Media_F1_Scores,Max_F1_Scores,Min_F1_Scores,Std_F1_Scores
IQCNDsE_Coluna,0.9775555555555555,0.9933333333333334,0.9633333333333332,0.006833169795258331,0.9774060384060383,0.9932867132867133,0.9630642690642692,0.0068378482436119445
IQCNDsE_Linha,0.9966666666666666,1.0,0.99,0.0029032944690379303,0.9966433566433569,1.0,0.9899300699300702,0.0029235972275626506
IQCpQ_tgt2_Coluna,0.41411111111111104,0.4566666666666666,0.3666666666666667,0.0219313336847145,0.3394966700362648,0.3748141861578394,0.2981287922603712,0.019386611430068104
IQCpQ_tgt2_Linha,0.18566666666666662,0.23,0.13,0.021675948498163088,0.13062485651661399,0.1590292102895683,0.088233995331182,0.015448374448061622
IQC_AIL_Coluna,0.45688888888888884,0.5033333333333333,0.41,0.019533512480707928,0.44645798823352995,0.5002968156714287,0.3990042898278192,0.020203223039541345
IQC_AIL_Linha,0.658111111111111,0.7166666666666667,0.6066666666666667,0.027399182432265693,0.648480123900867,0.708818119788708,0.6016301900713665,0.02675217649952063
IQC_Angle_Coluna,0.20000000000000007,0.2,0.2,5.646012854083702e-17,0.06666666666666661,0.0666666666666666,0.0666666666666666,1.4115032135209254e-17
IQC_Angle_Linha,0.20000000000000007,0.2,0.2,5.646012854083702e-17,0.06666666666666661,0.0666666666666666,0.0666666666666666,1.4115032135209254e-17
IQC_Coluna,0.4561111111111111,0.5033333333333333,0.41,0.020399897327766085,0.4458910186018545,0.5002968156714287,0.3990042898278192,0.020786177666052532
IQC_Linha,0.6582222222222222,0.7166666666666667,0.6066666666666667,0.027525443935692666,0.648600573821317,0.708818119788708,0.6016301900713665,0.026904193612210754
