Modelo,Media_F1_Scores,Max_F1_Scores,Min_F1_Scores,Std_F1_Scores
IQCNDsE_Linha,0.9966433566433569,1.0,0.9899300699300702,0.0029235972275626506
IQCNDsE_Coluna,0.9774060384060383,0.9932867132867133,0.9630642690642692,0.0068378482436119445
IQC_Linha,0.648600573821317,0.708818119788708,0.6016301900713665,0.026904193612210754
IQC_AIL_Linha,0.648480123900867,0.708818119788708,0.6016301900713665,0.02675217649952063
IQC_AIL_Coluna,0.44645798823352995,0.5002968156714287,0.3990042898278192,0.020203223039541345
IQC_Coluna,0.4458910186018545,0.5002968156714287,0.3990042898278192,0.020786177666052532
IQCpQ_tgt2_Coluna,0.3394966700362648,0.3748141861578394,0.2981287922603712,0.019386611430068104
IQCpQ_tgt2_Linha,0.13062485651661399,0.1590292102895683,0.088233995331182,0.015448374448061622
IQC_Angle_Linha,0.06666666666666661,0.0666666666666666,0.0666666666666666,1.4115032135209254e-17
IQC_Angle_Coluna,0.06666666666666661,0.0666666666666666,0.0666666666666666,1.4115032135209254e-17
