Accuracy,F1_Scores,Negativity_Class_0,Negativity_Class_1,Negativity_Class_2
0.8,0.8027065527065527,0.3734753363762105,0.2916429376226881,0.3618460776084864
0.9333333333333333,0.9326599326599326,0.352240944059885,0.29343933328167726,0.3619045837762541
0.8,0.791919191919192,0.36447461101334827,0.2893442602037321,0.36332757778318814
0.8666666666666667,0.8666666666666667,0.3555549901765764,0.3015722401065658,0.36390413132715455
0.8666666666666667,0.8611111111111112,0.362426369294022,0.2858229124578397,0.36227661438613645
1.0,1.0,0.33905673026676303,0.2900102801009668,0.36226762197086804
0.8666666666666667,0.865993265993266,0.3424383104154939,0.29946952524044845,0.362514126681335
0.9333333333333333,0.9326599326599326,0.3588252715063705,0.29229822203407413,0.3620264420338887
1.0,1.0,0.35838103099350754,0.2965273082791945,0.36451798656814344
0.7333333333333333,0.7407407407407406,0.35691634337922123,0.2930882903694323,0.36313200285660124
