Accuracy,F1_Scores
0.49333333333333335,0.3997055432147952
0.5,0.40148912534973447
0.4633333333333334,0.34803170343868023
0.47000000000000003,0.3452376655081407
0.4833333333333334,0.3737616091696164
0.48,0.3705784654831409
0.5,0.4067484345340023
0.47333333333333333,0.3613722901441419
0.4866666666666667,0.3778366119748755
0.49000000000000005,0.3971604814384019
0.49333333333333335,0.3823351195408219
0.4866666666666667,0.3836213516310242
0.48,0.3652935259123127
0.48,0.35167473376715996
0.4866666666666667,0.3871760686003204
0.4766666666666667,0.37340958321381945
0.5,0.39188302782654516
0.48,0.3654886049622892
0.48,0.36704490034797843
0.4833333333333334,0.3785820656540423
0.5033333333333333,0.4184513796002885
0.4866666666666667,0.3856839703109914
0.47333333333333333,0.3545075984607883
0.47333333333333333,0.36891325006949827
0.4966666666666667,0.4123439458959804
0.5,0.4186951321097114
0.49333333333333335,0.3984635530045216
0.4766666666666667,0.3563032665166812
0.48,0.3712856188883147
0.4633333333333334,0.343268029739878
