Accuracy,F1_Scores
0.7733333333333334,0.7724605147561209
0.7799999999999999,0.7789635780017249
0.7666666666666667,0.7656180309323917
0.7566666666666666,0.7548287408889467
0.7533333333333334,0.7517626399506183
0.76,0.7586738762006215
0.7933333333333334,0.7925361743527761
0.7666666666666667,0.7653182085253668
0.78,0.7791712746940778
0.7733333333333334,0.7718276191118237
0.7733333333333332,0.7714079863869908
0.76,0.7566471865817544
0.7766666666666666,0.7754507213598197
0.78,0.7784395639366849
0.7766666666666667,0.7759175040703126
0.7766666666666666,0.7758241731565441
0.7833333333333334,0.7818171380899412
0.7533333333333334,0.7507184082711549
0.79,0.7892134612184667
0.7666666666666667,0.7650979826803536
0.7533333333333333,0.7521921576857616
0.7733333333333333,0.7716980541547871
0.7566666666666667,0.7553399025252147
0.7566666666666666,0.7544245407087453
0.77,0.7677334908551865
0.7666666666666666,0.7646759263604941
0.7633333333333334,0.7614338003024044
0.7666666666666667,0.7648800478071565
0.7866666666666667,0.7857036618368654
0.7833333333333333,0.7814050193256254
