Weights
[[-0.44171992+0.j  1.25649064+0.j -2.8332847 +0.j -1.11806618+0.j]]
[[-0.44234195+0.j  1.25211547+0.j -2.83947448+0.j -1.10471149+0.j]]
[[-0.45188619+0.j  1.25206184+0.j -2.83664055+0.j -1.10777524+0.j]]
[[-0.44987227+0.j  1.24940032+0.j -2.83800269+0.j -1.11020501+0.j]]
[[-0.44194656+0.j  1.2644136 +0.j -2.8291104 +0.j -1.11869627+0.j]]
[[-0.44026095+0.j  1.25710058+0.j -2.84117417+0.j -1.09737217+0.j]]
[[-0.4534825 +0.j  1.23895933+0.j -2.84121592+0.j -1.11212006+0.j]]
[[-0.43892247+0.j  1.24729627+0.j -2.84309648+0.j -1.1035763 +0.j]]
[[-0.44902215+0.j  1.25037884+0.j -2.83905571+0.j -1.10812179+0.j]]
[[-0.44006705+0.j  1.25133889+0.j -2.83833481+0.j -1.11224313+0.j]]
[[-0.44587306+0.j  1.26937586+0.j -2.82930087+0.j -1.11240395+0.j]]
[[-0.43625112+0.j  1.25897497+0.j -2.84239608+0.j -1.09358609+0.j]]
[[-0.43887994+0.j  1.24937612+0.j -2.84090766+0.j -1.1082998 +0.j]]
[[-0.43941057+0.j  1.26569152+0.j -2.83177625+0.j -1.11338925+0.j]]
[[-0.4448754 +0.j  1.26600553+0.j -2.83063687+0.j -1.11242636+0.j]]
[[-0.45609905+0.j  1.24968405+0.j -2.83452017+0.j -1.11823939+0.j]]
[[-0.43925718+0.j  1.25117581+0.j -2.83793962+0.j -1.11292026+0.j]]
[[-0.44242536+0.j  1.2595691 +0.j -2.83466981+0.j -1.10658979+0.j]]
[[-0.44659549+0.j  1.24744875+0.j -2.83423372+0.j -1.12248617+0.j]]
[[-0.45182771+0.j  1.26060646+0.j -2.83410245+0.j -1.10756017+0.j]]
[[-0.44089472+0.j  1.25708332+0.j -2.83797785+0.j -1.10441834+0.j]]
[[-0.44066819+0.j  1.25949974+0.j -2.84185893+0.j -1.09370679+0.j]]
[[-0.4399759 +0.j  1.24709027+0.j -2.83638338+0.j -1.11912109+0.j]]
[[-0.43954653+0.j  1.26199075+0.j -2.83491108+0.j -1.10889194+0.j]]
[[-0.44234932+0.j  1.25768047+0.j -2.84043508+0.j -1.09600438+0.j]]
[[-0.44746565+0.j  1.23866575+0.j -2.84911641+0.j -1.09615113+0.j]]
[[-0.44629294+0.j  1.2670904 +0.j -2.8283711 +0.j -1.11668736+0.j]]
[[-0.45132787+0.j  1.24660189+0.j -2.83768731+0.j -1.11138882+0.j]]
[[-0.45142925+0.j  1.26435516+0.j -2.82962286+0.j -1.11516625+0.j]]
[[-0.45484618+0.j  1.25559821+0.j -2.83728595+0.j -1.10035456+0.j]]
