Modelo,Max_Accuracy,Max_F1_Scores
IQCNDsE_Coluna,0.79333,0.79254
IQCNDsE_Linha,0.79667,0.79554
IQCpQ_tgt2_Coluna,0.60333,0.56463
IQCpQ_tgt2_Linha,0.63000,0.59455
IQC_AIL_Coluna,0.83667,0.83229
IQC_AIL_Linha,0.86333,0.86225
IQC_Angle_Coluna,0.50000,0.33333
IQC_Angle_Linha,0.50000,0.33333
IQC_Coluna,0.83667,0.83229
IQC_Linha,0.86333,0.86225
