,1,2,3,4,5,6,7,8,9,10
1,1.0,0.5715834124410443,3.718736428010043e-59,1.2648462074122207e-54,1.726772765612998e-06,1.7256857880058036e-06,2.093738455451325e-73,2.093738455451325e-73,1.726772765612998e-06,1.7256857880058036e-06
2,0.5715834124410443,1.0,3.3290923578607985e-53,5.586819370851834e-49,1.7224282827430733e-06,1.7278603148724103e-06,1.420082546381983e-65,1.420082546381983e-65,1.7224282827430733e-06,1.7278603148724103e-06
3,3.718736428010043e-59,3.3290923578607985e-53,1.0,2.3207433336463526e-20,1.6954815515692352e-06,1.7072944035498492e-06,2.5320055477473493e-58,2.5320055477473493e-58,1.6954815515692352e-06,1.7072944035498492e-06
4,1.2648462074122207e-54,5.586819370851834e-49,2.3207433336463526e-20,1.0,1.7072944035498492e-06,1.705141514598868e-06,1.2283900964464778e-62,1.2283900964464778e-62,1.7072944035498492e-06,1.705141514598868e-06
5,1.726772765612998e-06,1.7224282827430733e-06,1.6954815515692352e-06,1.7072944035498492e-06,1.0,1.6551974414045436e-06,1.0870146149411946e-06,1.0870146149411946e-06,1.0,1.6551974414045436e-06
6,1.7256857880058036e-06,1.7278603148724103e-06,1.7072944035498492e-06,1.705141514598868e-06,1.6551974414045436e-06,1.0,1.5709876529100655e-06,1.5709876529100655e-06,1.6551974414045436e-06,1.0
7,2.093738455451325e-73,1.420082546381983e-65,2.5320055477473493e-58,1.2283900964464778e-62,1.0870146149411946e-06,1.5709876529100655e-06,1.0,1.0,1.0870146149411946e-06,1.5709876529100655e-06
8,2.093738455451325e-73,1.420082546381983e-65,2.5320055477473493e-58,1.2283900964464778e-62,1.0870146149411946e-06,1.5709876529100655e-06,1.0,1.0,1.0870146149411946e-06,1.5709876529100655e-06
9,1.726772765612998e-06,1.7224282827430733e-06,1.6954815515692352e-06,1.7072944035498492e-06,1.0,1.6551974414045436e-06,1.0870146149411946e-06,1.0870146149411946e-06,1.0,1.6551974414045436e-06
10,1.7256857880058036e-06,1.7278603148724103e-06,1.7072944035498492e-06,1.705141514598868e-06,1.6551974414045436e-06,1.0,1.5709876529100655e-06,1.5709876529100655e-06,1.6551974414045436e-06,1.0
