,1,2,3,4,5,6,7,8,9,10
1,1.0,0.6408251815407613,7.193836289195167e-63,3.7718042575021694e-58,1.862645149230957e-09,1.862645149230957e-09,1.1303172657488395e-84,1.1303172657488395e-84,1.862645149230957e-09,1.862645149230957e-09
2,0.6408251815407613,1.0,4.4953091098565183e-57,6.78269298588377e-53,1.862645149230957e-09,1.862645149230957e-09,8.083016285123528e-77,8.083016285123528e-77,1.862645149230957e-09,1.862645149230957e-09
3,7.193836289195167e-63,4.4953091098565183e-57,1.0,1.0964698510649413e-18,1.862645149230957e-09,1.862645149230957e-09,1.059489666435484e-77,1.059489666435484e-77,1.862645149230957e-09,1.862645149230957e-09
4,3.7718042575021694e-58,6.78269298588377e-53,1.0964698510649413e-18,1.0,1.862645149230957e-09,1.862645149230957e-09,9.77372229659251e-77,9.77372229659251e-77,1.862645149230957e-09,1.862645149230957e-09
5,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.0,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.0,1.862645149230957e-09
6,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.0,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.0
7,1.1303172657488395e-84,8.083016285123528e-77,1.059489666435484e-77,9.77372229659251e-77,1.862645149230957e-09,1.862645149230957e-09,1.0,1.0,1.862645149230957e-09,1.862645149230957e-09
8,1.1303172657488395e-84,8.083016285123528e-77,1.059489666435484e-77,9.77372229659251e-77,1.862645149230957e-09,1.862645149230957e-09,1.0,1.0,1.862645149230957e-09,1.862645149230957e-09
9,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.0,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.0,1.862645149230957e-09
10,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.0,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.0
