Modelo,Max_Accuracy,Max_F1_Scores
IQCNDsE_Coluna,0.99333,0.99329
IQCNDsE_Linha,1.00000,1.00000
IQCpQ_tgt2_Coluna,0.45667,0.37481
IQCpQ_tgt2_Linha,0.23000,0.15903
IQC_AIL_Coluna,0.50333,0.50030
IQC_AIL_Linha,0.71667,0.70882
IQC_Angle_Coluna,0.20000,0.06667
IQC_Angle_Linha,0.20000,0.06667
IQC_Coluna,0.50333,0.50030
IQC_Linha,0.71667,0.70882
