,1,2,3,4,5,6,7,8,9,10
1,1.0,1.758922179792764e-06,4.795077876139779e-74,7.227789309119614e-83,1.1021721176731636e-74,1.0699013287369622e-54,1.1616253370934508e-112,1.1616253370934508e-112,9.554454348902394e-74,1.3977600811437096e-54
2,1.758922179792764e-06,1.0,1.7311263949197286e-06,1.6858673414334802e-06,1.726772765612998e-06,1.7311263949197286e-06,1.2817183019872247e-06,1.2817183019872247e-06,1.7256857880058036e-06,1.7311263949197286e-06
3,4.795077876139779e-74,1.7311263949197286e-06,1.0,2.806838738381255e-44,6.66991416292696e-11,9.807551779811153e-43,4.7560685002259367e-51,4.7560685002259367e-51,2.1064705307906023e-10,1.1183033762756553e-42
4,7.227789309119614e-83,1.6858673414334802e-06,2.806838738381255e-44,1.0,7.731434830214061e-50,3.8805692351124163e-59,0.0006163033752984716,0.0006163033752984716,2.8159923906623618e-49,4.504567412697873e-59
5,1.1021721176731636e-74,1.726772765612998e-06,6.66991416292696e-11,7.731434830214061e-50,1.0,4.173836394794856e-39,1.921362020108003e-58,1.921362020108003e-58,0.8806318561661202,4.790139902814361e-39
6,1.0699013287369622e-54,1.7311263949197286e-06,9.807551779811153e-43,3.8805692351124163e-59,4.173836394794856e-39,1.0,1.942532195687591e-64,1.942532195687591e-64,7.727981407176579e-39,0.9875515587787852
7,1.1616253370934508e-112,1.2817183019872247e-06,4.7560685002259367e-51,0.0006163033752984716,1.921362020108003e-58,1.942532195687591e-64,1.0,1.0,2.753194636588185e-57,2.496466073784972e-64
8,1.1616253370934508e-112,1.2817183019872247e-06,4.7560685002259367e-51,0.0006163033752984716,1.921362020108003e-58,1.942532195687591e-64,1.0,1.0,2.753194636588185e-57,2.496466073784972e-64
9,9.554454348902394e-74,1.7256857880058036e-06,2.1064705307906023e-10,2.8159923906623618e-49,0.8806318561661202,7.727981407176579e-39,2.753194636588185e-57,2.753194636588185e-57,1.0,8.824813501544086e-39
10,1.3977600811437096e-54,1.7311263949197286e-06,1.1183033762756553e-42,4.504567412697873e-59,4.790139902814361e-39,0.9875515587787852,2.496466073784972e-64,2.496466073784972e-64,8.824813501544086e-39,1.0
