,1,2,3,4,5,6,7,8,9,10
1,1.0,1.7300371292901245e-06,5.919025052726519e-80,1.862645149230957e-09,2.041482605327659e-74,5.569946562608764e-56,1.2599986247480091e-116,1.2599986247480091e-116,8.430713857278982e-74,7.712515625570828e-56
2,1.7300371292901245e-06,1.0,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.2817183019872247e-06,1.2817183019872247e-06,1.862645149230957e-09,1.862645149230957e-09
3,5.919025052726519e-80,1.862645149230957e-09,1.0,1.862645149230957e-09,1.0484115228368457e-28,5.45951252472121e-50,3.929229283195783e-60,3.929229283195783e-60,2.968629818515493e-28,6.596471132924059e-50
4,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.0,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09
5,2.041482605327659e-74,1.862645149230957e-09,1.0484115228368457e-28,1.862645149230957e-09,1.0,2.7306094448727108e-39,2.261857806767417e-67,2.261857806767417e-67,0.9150538380663598,3.225022793460273e-39
6,5.569946562608764e-56,1.862645149230957e-09,5.45951252472121e-50,1.862645149230957e-09,2.7306094448727108e-39,1.0,5.013042880180932e-71,5.013042880180932e-71,4.1774158793536875e-39,0.9861864582757371
7,1.2599986247480091e-116,1.2817183019872247e-06,3.929229283195783e-60,1.862645149230957e-09,2.261857806767417e-67,5.013042880180932e-71,1.0,1.0,1.2719491959930858e-66,6.871689187719502e-71
8,1.2599986247480091e-116,1.2817183019872247e-06,3.929229283195783e-60,1.862645149230957e-09,2.261857806767417e-67,5.013042880180932e-71,1.0,1.0,1.2719491959930858e-66,6.871689187719502e-71
9,8.430713857278982e-74,1.862645149230957e-09,2.968629818515493e-28,1.862645149230957e-09,0.9150538380663598,4.1774158793536875e-39,1.2719491959930858e-66,1.2719491959930858e-66,1.0,4.913276607662127e-39
10,7.712515625570828e-56,1.862645149230957e-09,6.596471132924059e-50,1.862645149230957e-09,3.225022793460273e-39,0.9861864582757371,6.871689187719502e-71,6.871689187719502e-71,4.913276607662127e-39,1.0
