Weights
  -0.60116333+0.j -0.81253942+0.j -0.62456093+0.j -0.30858349+0.j
  -0.20463682+0.j  0.08292761+0.j -0.16057642+0.j  0.37354527+0.j
   0.47312593+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15226328+0.j  0.44270155+0.j -0.99732995+0.j -0.37822879+0.j
  -0.59927344+0.j -0.81251699+0.j -0.62455537+0.j -0.30857969+0.j
  -0.20459721+0.j  0.0830027 +0.j -0.16056325+0.j  0.37358049+0.j
   0.47289419+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15228684+0.j  0.4426937 +0.j -0.99735019+0.j -0.37830715+0.j
  -0.60023516+0.j -0.81252073+0.j -0.62454407+0.j -0.30858563+0.j
  -0.20457702+0.j  0.08301391+0.j -0.16056138+0.j  0.3735892 +0.j
   0.47302423+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15270852+0.j  0.44260148+0.j -0.99738738+0.j -0.37880894+0.j
  -0.60376215+0.j -0.81261509+0.j -0.62463749+0.j -0.30859448+0.j
  -0.20465167+0.j  0.08283425+0.j -0.16058729+0.j  0.37346997+0.j
   0.47340106+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15229837+0.j  0.44269282+0.j -0.99732613+0.j -0.37829437+0.j
  -0.59959021+0.j -0.81250054+0.j -0.62453113+0.j -0.30858441+0.j
  -0.20462928+0.j  0.08302333+0.j -0.16056718+0.j  0.37358819+0.j
   0.47294046+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15260615+0.j  0.44261902+0.j -0.9973654 +0.j -0.37855106+0.j
  -0.60290418+0.j -0.81255303+0.j -0.62458103+0.j -0.3085886 +0.j
  -0.20461758+0.j  0.08288429+0.j -0.16057708+0.j  0.37350623+0.j
   0.47330602+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15252099+0.j  0.44267838+0.j -0.99737206+0.j -0.37849528+0.j
  -0.60198321+0.j -0.81252834+0.j -0.62456692+0.j -0.30858875+0.j
  -0.20462333+0.j  0.08302214+0.j -0.16058918+0.j  0.37353504+0.j
   0.47320334+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.1526871 +0.j  0.44264431+0.j -0.99739108+0.j -0.37887681+0.j
  -0.60416626+0.j -0.81257844+0.j -0.62460637+0.j -0.30860055+0.j
  -0.20466746+0.j  0.08285977+0.j -0.16060187+0.j  0.37348218+0.j
   0.47344702+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15258216+0.j  0.44263358+0.j -0.9973609 +0.j -0.37834619+0.j
  -0.60306627+0.j -0.81257547+0.j -0.62460451+0.j -0.30859071+0.j
  -0.20460653+0.j  0.0829564 +0.j -0.16057903+0.j  0.37349664+0.j
   0.47333235+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15239315+0.j  0.44266765+0.j -0.99735022+0.j -0.37841599+0.j
  -0.60043532+0.j -0.81254692+0.j -0.62459355+0.j -0.30859136+0.j
  -0.20462422+0.j  0.08297275+0.j -0.16057091+0.j  0.37359317+0.j
   0.473067  +0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.1525371 +0.j  0.44256208+0.j -0.9973641 +0.j -0.37855376+0.j
  -0.60171971+0.j -0.81252541+0.j -0.62456187+0.j -0.30859217+0.j
  -0.20460378+0.j  0.08300478+0.j -0.16058343+0.j  0.37354212+0.j
   0.47319533+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15238778+0.j  0.44273438+0.j -0.99733114+0.j -0.37830949+0.j
  -0.59993737+0.j -0.8125199 +0.j -0.62455914+0.j -0.30858111+0.j
  -0.20459856+0.j  0.08300364+0.j -0.16057449+0.j  0.37354454+0.j
   0.47297968+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
