Accuracy,F1_Scores
0.4866666666666667,0.33699916894171345
0.5133333333333333,0.3695638778570481
0.48,0.33396886591141034
0.4833333333333333,0.33540794811113794
0.48999999999999994,0.34393067538386524
0.49333333333333335,0.3458637947779534
0.49000000000000005,0.3444241491522614
0.4966666666666667,0.35674001681157286
0.48,0.3292791112216557
0.4966666666666667,0.34791018944575713
0.4866666666666667,0.3417593957949635
0.4966666666666667,0.3607580489505934
0.4933333333333333,0.3514317249098371
0.47333333333333333,0.3314543100538313
0.4800000000000001,0.33375241569496017
0.4966666666666667,0.3474223128292896
0.49000000000000005,0.3465465530821208
0.49000000000000005,0.34960178045848356
0.4866666666666667,0.3370696411052088
0.4966666666666667,0.35829332261445807
0.5066666666666666,0.3757363890091097
0.4866666666666667,0.3482554438265793
0.48666666666666664,0.3513158233980248
0.48,0.3239555018624786
0.47333333333333333,0.33614406474358594
0.5033333333333333,0.37094612744206695
0.49333333333333335,0.3450061490417168
0.4766666666666667,0.326984126984127
0.49333333333333335,0.35553526026337245
0.4866666666666667,0.33741657339468556
