Weights
"[[ 3.93438922-9.53905576e-19j  3.21894624-6.03515293e-19j
   0.21168373-3.46348443e-19j -0.20242786-3.14897696e-20j]]"
"[[ 3.95206723+2.72969101e-19j  3.24270209+1.01225054e-19j
   0.20116835+7.23729127e-20j -0.20420305+2.25752210e-20j]]"
"[[ 1.93335205+6.52209319e-19j  1.87439588+4.48440999e-19j
  -0.38599986+1.61764385e-19j -0.29356921+2.15495967e-20j]]"
"[[ 1.96107991-5.70784484e-19j  1.88812615-3.80111229e-19j
  -0.38483159-1.83126512e-19j -0.29310785-3.27354401e-20j]]"
"[[ 1.92626977-7.02955959e-19j  1.86770907-5.10905810e-19j
  -0.38659536-2.13542636e-19j -0.29559733-2.31344667e-20j]]"
"[[ 3.94983264+6.79306660e-19j  3.235577  +4.43341060e-19j
   0.21259985+1.71132461e-19j -0.20399631+3.60741210e-20j]]"
"[[ 1.92705365-3.10087638e-19j  1.871235  -2.16114932e-19j
  -0.39919716-1.06066018e-19j -0.29670822-2.14100640e-20j]]"
"[[ 1.94721561-1.12197067e-18j  1.87776638-7.78837862e-19j
  -0.37187152-3.28198775e-19j -0.29494752-4.77890411e-20j]]"
"[[ 1.97247728-2.94537358e-19j  1.90545471-1.95665966e-19j
  -0.38023357-8.24241190e-20j -0.29044988-1.39983277e-20j]]"
"[[ 1.93576043-6.71036880e-19j  1.87065632-4.77445683e-19j
  -0.38179649-2.07443901e-19j -0.29469907-4.39713684e-20j]]"
"[[ 3.97695188+1.51483655e-19j  3.26445671+2.32071830e-20j
   0.20799328+1.37282388e-19j -0.20773036+3.11941102e-20j]]"
"[[ 1.97460205-5.48103899e-19j  1.9061808 -3.38683055e-19j
  -0.3857366 -2.16428094e-19j -0.29726   -4.93400235e-20j]]"
"[[ 5.94920217-3.42740822e-19j  5.6126429 +5.58962934e-19j
  -1.17010585-9.07460193e-19j -0.93527976-3.64098538e-19j]]"
"[[ 1.95415474+3.84247577e-19j  1.87917319+2.42106526e-19j
  -0.37879443+9.97922580e-20j -0.29329124+2.21766735e-20j]]"
"[[ 3.98915462-1.21857870e-18j  3.28019577-7.95501195e-19j
   0.20246334-3.66586929e-19j -0.20000223-5.60895844e-20j]]"
"[[ 3.91878281-7.84786161e-19j  3.216028  -5.03133118e-19j
   0.1808136 -2.51787602e-19j -0.21539281-5.32083588e-20j]]"
"[[ 3.98637201+7.99469987e-19j  3.26085924+5.03956122e-19j
   0.2273406 +2.43572494e-19j -0.20568526+4.80716924e-20j]]"
"[[ 3.98843298-6.08647862e-19j  3.27012205-4.50657509e-19j
   0.22094896-1.81154464e-19j -0.20193361-1.53326786e-20j]]"
"[[ 3.93161525+1.16563638e-18j  3.21909765+8.14275863e-19j
   0.2050494 +3.14555347e-19j -0.20031794+5.48485183e-20j]]"
"[[ 4.01188282+2.19249791e-19j  3.286399  +6.29103428e-20j
   0.23552855+8.78286921e-20j -0.19748287+1.29769726e-20j]]"
"[[ 3.9406386 +1.72266964e-19j  3.2307071 +8.05951436e-20j
   0.18738913+7.69301525e-20j -0.19512836+4.72501742e-20j]]"
"[[ 3.97668997+1.00301759e-18j  3.26368382+5.92244720e-19j
   0.19900025+3.04537678e-19j -0.20387706+4.93293804e-20j]]"
"[[ 1.95248375+1.89236207e-19j  1.88342183+1.33411590e-19j
  -0.38714234+3.59970623e-20j -0.29277926+3.92412891e-22j]]"
"[[ 3.99784656+1.07734268e-18j  3.2833164 +7.14103842e-19j
   0.21544574+3.09563575e-19j -0.20727766+4.03715204e-20j]]"
"[[ 3.97254143-7.35446601e-19j  3.25886716-5.59792340e-19j
   0.1962238 -2.12292915e-19j -0.20798766-2.64533229e-20j]]"
"[[ 1.92978734+8.06687090e-19j  1.87366009+5.43451744e-19j
  -0.39674778+1.98174972e-19j -0.29282781+3.67274646e-20j]]"
"[[ 1.95392184-3.03798562e-19j  1.88030891-2.37906319e-19j
  -0.37981631-1.05519955e-19j -0.29604854-2.06898688e-20j]]"
"[[ 3.96477168+2.61979800e-19j  3.2551376 +1.42596769e-19j
   0.19448008+7.11739901e-20j -0.19539904+6.21973729e-21j]]"
"[[ 2.00705526-1.44010378e-18j  1.91705472-9.52195009e-19j
  -0.37004942-4.29388241e-19j -0.29041477-7.48765827e-20j]]"
"[[ 3.94962815+1.21782981e-18j  3.24434051+8.56657270e-19j
   0.20174552+3.72208885e-19j -0.20236708+4.99929396e-20j]]"
