Negativity_Class_0,Negativity_Class_1,Negativity_Class_2,Negativity_Class_3,Negativity_Class_4
0.23097899937107108,0.2926773665904376,0.18909489330471446,0.32199321815150805,0.26231269954255654
0.23772835867437164,0.2925204964970633,0.18926982475312126,0.3222558550293676,0.26352307506469475
0.2322948627597659,0.29284988212938956,0.1870713268897212,0.32524828861215244,0.2625068303068936
0.22934624456352753,0.2930082131524967,0.19159503586054066,0.32744810360524523,0.26305874992194866
0.23055865436226783,0.29289900453419804,0.18792364661755953,0.325203718409427,0.26292364279129626
0.24705941280273952,0.2927101856426593,0.18529005012924302,0.321960840348458,0.26045126987588185
0.22834833823356196,0.2926055655961918,0.18830302248987166,0.32704796945804926,0.26505520001820704
0.22687243405260835,0.29261637010547054,0.19121177469196968,0.32349734663316665,0.2600778564360405
0.22954018693018763,0.29261766555639734,0.19075823009189766,0.32611407690009203,0.26306681784647656
0.2320088021175406,0.29269070596596075,0.19002520231901882,0.323824267868402,0.2580949015958665
0.2333800601897739,0.2924335049366059,0.19227714020289804,0.32705533119891295,0.2558015288798095
0.22939156760787438,0.2932482499974719,0.1889105756351576,0.3235743265518206,0.25629547513743395
0.22863173988552038,0.29288022761163823,0.1922773266244224,0.3224831518135188,0.2544605006396451
0.23059717117246628,0.2930784831675339,0.19156737553128278,0.3231673183967231,0.261619370720776
0.22677620018758918,0.29277649160105046,0.18804269492079845,0.3238408981483049,0.2610484373191719
0.23787382517222241,0.2929987172657714,0.19354756727770578,0.32531562119975294,0.26056926410001674
0.2388959837354116,0.2929619224970533,0.19108260907443403,0.3234663744769494,0.2628727699934179
0.22492812116036637,0.29296689166757106,0.1925336129071467,0.32591350479950437,0.2642562060034036
0.22487739778503685,0.2929944334705764,0.1851056726895939,0.3239798308927574,0.2628122878272068
0.22660062098978,0.2931293425470231,0.1933297444342013,0.32544788320332724,0.26028534703922335
0.23189972327667135,0.29247805722639575,0.19039520694018822,0.32776818107630545,0.26373755423640466
0.23538181527336763,0.29284580008266875,0.18606138545567985,0.32262023867951906,0.26223443139734004
0.23081891840166358,0.2929937295818289,0.19128826378056288,0.32639201125398304,0.2602140118013317
0.23752877405546974,0.2929302673938488,0.18771750097882067,0.3265219341881969,0.25986017415567036
0.23216533594703428,0.293221335055525,0.1921217036410776,0.3229312962505621,0.2625123810416436
0.2368382700543273,0.2923471298101286,0.18797749149962256,0.32569259602656747,0.2611890053218303
0.22674818834211394,0.29225673778054395,0.1896140097649446,0.3270389447672313,0.2648029027812614
0.2323851029492406,0.29307292079840674,0.18728149546657744,0.3219176707633071,0.2571162289358061
0.22949884588311198,0.2926357751226442,0.19107933554059603,0.3209958914865455,0.2634851626900253
0.2335143292279065,0.2930230083510838,0.1856345588055493,0.32472407705921896,0.2627153134103005
