Accuracy,F1_Scores,Negativity_Class_0,Negativity_Class_1,Negativity_Class_2
1.0,1.0,0.47746755469743235,0.5557455260277376,0.5655543115375404
1.0,1.0,0.48038074964218364,0.5500674674593811,0.5616141137791445
0.9333333333333333,0.9326599326599326,0.484491968693096,0.5537435933311955,0.5630334378148866
1.0,1.0,0.4782787280329922,0.5318313413935354,0.5454096401214826
0.8666666666666667,0.8611111111111112,0.4901870496782952,0.566898400269235,0.5765310591199664
0.9333333333333333,0.9326599326599326,0.45631910199296055,0.5530332511813675,0.565289409606183
0.8666666666666667,0.8611111111111112,0.4730883535628431,0.5406787076120093,0.5529136956268613
0.8666666666666667,0.8611111111111112,0.4746809799810762,0.5510075104657705,0.5606500110384166
0.9333333333333333,0.9326599326599326,0.47324371923541086,0.546523274619502,0.5571532693356402
0.7333333333333333,0.7407407407407406,0.4590384421711497,0.5413672203940076,0.5541078605536434
