Accuracy,F1_Scores,Negativity_Class_0,Negativity_Class_1,Negativity_Class_2
0.3333333333333333,0.16666666666666666,0.13756058338204227,0.16333254915955972,0.1719825988116554
0.3333333333333333,0.16666666666666666,0.1209770458952507,0.1651290367717905,0.17414836746628523
0.3333333333333333,0.16666666666666666,0.12199942768571535,0.16971669425587407,0.17740475236455802
0.3333333333333333,0.16666666666666666,0.09481332100157233,0.14090715895880182,0.1491437805599631
0.3333333333333333,0.16666666666666666,0.07917830114176437,0.12484991374935824,0.1346031694668523
0.3333333333333333,0.16666666666666666,0.09285337854935928,0.14609271303639476,0.15742569440116977
0.3333333333333333,0.16666666666666666,0.11375138302336846,0.16128267592297335,0.16959488824901872
0.3333333333333333,0.16666666666666666,0.11573835200042687,0.15976635269190412,0.16717913447709729
0.3333333333333333,0.16666666666666666,0.10593133984168515,0.15259603693659757,0.16253525990393652
0.3333333333333333,0.16666666666666666,0.12122298113233795,0.1650732325586746,0.17241199298646395
