Accuracy,F1_Scores,Negativity_Class_0,Negativity_Class_1,Negativity_Class_2
0.3333333333333333,0.16666666666666666,0.7021452279809623,0.5770969565292686,0.5946733294601361
0.3333333333333333,0.16666666666666666,0.6900245265166057,0.5958587592139757,0.6147224545535204
0.3333333333333333,0.16666666666666666,0.7096034987717376,0.5557488240044673,0.5683334746743648
0.3333333333333333,0.17543859649122806,0.6921736775032001,0.5850451918293125,0.5955645400951118
0.3333333333333333,0.16666666666666666,0.7049241524867107,0.5824218316299176,0.5908385592784171
0.3333333333333333,0.16666666666666666,0.7022270534182992,0.5687215865839153,0.5816850150101835
0.3333333333333333,0.17543859649122806,0.7078269186524493,0.60048855996057,0.6084426805337969
0.3333333333333333,0.16666666666666666,0.7015838000362814,0.5929173049559852,0.6174691021575709
0.3333333333333333,0.17543859649122806,0.7107801515048144,0.5708518767001464,0.5841133380340836
0.3333333333333333,0.17543859649122806,0.6904388232289386,0.6036571824027663,0.6176529535331181
