Negativity_Class_0,Negativity_Class_1,Negativity_Class_2
0.7020319580001553,0.5849569973995516,0.598659566767411
0.70117278301,0.5832808073810325,0.5973495447330304
0.7016286749148453,0.5809572044642233,0.6000208903260684
0.6992641189614949,0.5859615493578245,0.6019791501894147
0.7019732319220345,0.580516033284786,0.5987984247964161
0.7012764852460048,0.5806233865258728,0.5979037325477675
0.7012559564291425,0.5805679545920152,0.5979372617849742
0.7005596698931059,0.583123956411437,0.5988722624284175
0.7003564927212256,0.5829061628834151,0.5982063558261588
0.7057575805168164,0.5832832282662977,0.5989891698368555
0.7007933677335452,0.585019053466574,0.6023759373529516
0.7003998990396864,0.5848399007429427,0.5966553761970486
0.7010622172617522,0.5819873333965655,0.601331965405824
0.7013403808063121,0.5839552863723646,0.5975664396562455
0.7001381149783841,0.5818059809629015,0.6021414191725925
0.7002591220559307,0.5848778909971559,0.5983542932979928
0.70177633154734,0.5829974548464901,0.5979368571098629
0.7016695716796489,0.5786116084589061,0.5986877082779779
0.7013126701484547,0.585926291348909,0.5961864258762715
0.6997049602497168,0.5844513105542981,0.5994222978899939
0.6996314351600114,0.5870203235852898,0.6008593829802921
0.7009925620568039,0.5823165677650632,0.598560657062591
0.7003398411903727,0.5844603645438702,0.5991560238851875
0.6985612451509725,0.5854580283321706,0.6005374311629501
0.7013350626124246,0.5815980445219695,0.5997568898274004
0.7012828506529662,0.5823983987195345,0.5988169177315859
0.7004720359703099,0.582188038687703,0.5957213988027806
0.701285196262197,0.5819136228487682,0.5988065110252336
0.700725570168046,0.5825564083708122,0.597500572898334
0.7015654969392491,0.5834843350550585,0.5990141746713775
