Accuracy,F1_Scores
0.1766666666666667,0.12648944139123167
0.19666666666666668,0.1387102730356196
0.19333333333333336,0.13234847348550402
0.17333333333333334,0.12590770637358334
0.22999999999999998,0.15902921028956835
0.14,0.09423419717537365
0.19333333333333333,0.13390635473917206
0.18,0.13016551873665888
0.21000000000000002,0.15723020663546977
0.19,0.13463837210336066
0.18,0.13125333125766564
0.19666666666666668,0.13894436657403408
0.1933333333333333,0.1275549534415869
0.18666666666666668,0.13630704387818401
0.18666666666666668,0.1291177611518169
0.23000000000000004,0.15774631597444894
0.16,0.11430708325192107
0.17333333333333334,0.12390303123985988
0.20999999999999996,0.14504420323548067
0.18,0.13835612213873086
0.18333333333333335,0.12649247667574495
0.1933333333333333,0.13353213411975023
0.1933333333333333,0.13968514628011194
0.16666666666666666,0.11402710523349908
0.13000000000000003,0.08823399533118202
0.16333333333333333,0.11972431615586818
0.1766666666666667,0.1256886199455859
0.19333333333333333,0.13020087811412348
0.18,0.12338386192410959
0.21000000000000002,0.14258319560917487
