Accuracy,F1_Scores
0.3866666666666667,0.2833228209698798
0.4,0.3070335982100688
0.42666666666666664,0.3252407342113225
0.4,0.31271809889456953
0.42000000000000004,0.3323058423058423
0.3866666666666667,0.29800620403561584
0.3866666666666667,0.28469364513482154
0.4,0.3047349056172585
0.42666666666666664,0.3316702125990052
0.38666666666666666,0.28141236758883814
0.38,0.29241912227206346
0.4,0.3073688022217434
0.40666666666666673,0.30375065938533424
0.39333333333333337,0.29971690074631246
0.3866666666666667,0.29682769128589565
0.3666666666666667,0.27218932483638364
0.4533333333333334,0.3595629969159381
0.38,0.2916035816035816
0.42666666666666664,0.3241234527999234
0.4,0.30260825603704855
0.33333333333333337,0.24672530628412984
0.3533333333333334,0.25954715219421104
0.37333333333333335,0.28757943552835197
0.40666666666666673,0.3183944160414749
0.36000000000000004,0.2705027271203742
0.4,0.31048211048211044
0.42000000000000004,0.3260219355807591
0.42000000000000004,0.3327339327339328
0.42000000000000004,0.3261181356769592
0.3333333333333333,0.2448228786464081
