Accuracy,F1_Scores,Negativity_Class_0,Negativity_Class_1,Negativity_Class_2
0.9333333333333333,0.9326599326599326,0.3160829026169549,0.1890194056208703,0.19127214285082653
0.9333333333333333,0.9326599326599326,0.30612858429699963,0.19148539277470744,0.1868425884528807
0.9333333333333333,0.9326599326599326,0.28701806612297054,0.19710611216292007,0.18525973069952853
1.0,1.0,0.2887798099029595,0.19713915696038847,0.19525642732380064
0.9333333333333333,0.9326599326599326,0.3097646790990497,0.18337088638391338,0.18175217353309808
0.9333333333333333,0.9326599326599326,0.30857559898071085,0.18522833198692448,0.19304581308719312
0.9333333333333333,0.9326599326599326,0.29861604037796224,0.19174539196912668,0.1943067210995497
1.0,1.0,0.3041774658173706,0.19181783028963784,0.19363134419227374
1.0,1.0,0.2938597845386922,0.19251057152638343,0.1895272391321558
0.9333333333333333,0.9326599326599326,0.2942623343792416,0.19914486948117613,0.20126402738318577
