Negativity_Class_0,Negativity_Class_1,Negativity_Class_2
0.3007265266132911,0.1918567949156048,0.1912158207754492
0.3012368741415399,0.1914028888407442,0.1926594938475609
0.3008028861540091,0.1924229284127033,0.1893951987447528
0.301663658782985,0.1916830983717721,0.1912352787446568
0.3022216023928865,0.1913396180909564,0.1917581112363491
0.3007641159606211,0.1916299442458726,0.192016970570785
0.3013173644739967,0.1924669168711306,0.1917996038096674
0.3014167744594598,0.1913665672261512,0.1916071573980864
0.3019189169924741,0.1910290104037013,0.1909694203049584
0.3010536796676812,0.192041966071698,0.1903805990658506
0.3013421395735877,0.1920355717808127,0.1913714478382764
0.3008125494191521,0.1920576363918716,0.1908511265218463
0.301398131848403,0.1914505099193322,0.1910416287420467
0.3014401076616272,0.1911834331038767,0.1901449900522995
0.3010623725000586,0.1921741410650957,0.1927686705067098
0.3014617347818963,0.1910963323873846,0.1915852344250806
0.3011099971994163,0.1909411084315977,0.1903044333439713
0.3013808518352471,0.191055908964746,0.1910302622647433
0.3021449009797507,0.1917651522999705,0.1924271468578358
0.3014639208288604,0.1914918045892446,0.1906367777019486
0.3017721580677229,0.1917265859118549,0.1923736111898122
0.301407927396494,0.1915600400789514,0.1908402573305833
0.3012942722105579,0.1916370439761263,0.1902267143269769
0.3015782117699738,0.1913166789421556,0.1910927287216672
0.3016425245491773,0.1920119019117884,0.1901602416103311
0.3016639419859299,0.1905567975068611,0.1914814835569439
0.3011557879656445,0.191796380059494,0.1924503515495511
0.3013288135779514,0.1912251498395678,0.1909398688747841
0.3013526519016683,0.191524860534105,0.1922287322838915
