Accuracy,F1_Scores,Negativity_Class_0,Negativity_Class_1,Negativity_Class_2
0.7333333333333333,0.7380952380952381,0.35975520630353003,0.291944357336139,0.3622455142533342
0.9333333333333333,0.9326599326599326,0.3472761213059779,0.286050280650224,0.36147436302349534
0.8,0.791919191919192,0.36556285094135904,0.293839395707938,0.3627350767071427
0.8666666666666667,0.8666666666666667,0.3600879800440678,0.29997590989635403,0.36374056100661567
0.7333333333333333,0.7333333333333334,0.35687431206363857,0.28544800172139057,0.36202855635415726
1.0,1.0,0.3624030818934552,0.2900102801009668,0.36226762197086804
0.8666666666666667,0.865993265993266,0.3424383104154939,0.29946952524044845,0.362514126681335
0.9333333333333333,0.9326599326599326,0.3588252715063705,0.29229822203407413,0.3620264420338887
1.0,1.0,0.35838103099350754,0.2965273082791945,0.36451798656814344
0.7333333333333333,0.7407407407407406,0.35691634337922123,0.2930882903694323,0.36313200285660124
