Accuracy,F1_Scores,Negativity_Class_0,Negativity_Class_1,Negativity_Class_2
0.7333333333333333,0.7380952380952381,0.36087078330537203,0.2971866925173957,0.3625896274268116
0.9333333333333333,0.9326599326599326,0.3394127770245915,0.2912483227413834,0.3619338732674105
0.8,0.791919191919192,0.3645180992125845,0.2917556488219016,0.3630455665726702
0.8666666666666667,0.8666666666666667,0.36685432046206157,0.2962391961305941,0.363051212098348
0.7333333333333333,0.7333333333333334,0.36161804119982166,0.2817121867491736,0.3621642051370328
1.0,1.0,0.3621331891721335,0.2900102801009668,0.36226762197086804
0.8666666666666667,0.865993265993266,0.3424383104154939,0.29946952524044845,0.362514126681335
0.9333333333333333,0.9326599326599326,0.3588252715063705,0.29229822203407413,0.3620264420338887
1.0,1.0,0.35838103099350754,0.2965273082791945,0.36451798656814344
0.7333333333333333,0.7407407407407406,0.35691634337922123,0.2930882903694323,0.36313200285660124
