Weights
"[[ 1.98324265+3.36689824e-19j  3.95265321+5.30408642e-19j
  -1.29597124+2.13088682e-20j -1.3885334 -1.26446177e-19j]]"
"[[ 1.98184007+3.18611505e-20j  3.96147   -8.21049297e-20j
  -1.30199562+5.04175382e-19j -1.36868948+5.98256063e-19j]]"
"[[ 1.90192009+4.33056058e-18j  3.90980249+4.58880158e-18j
  -1.27678933+2.58961529e-18j -1.32214887+1.83166913e-18j]]"
"[[ 1.97526195+7.04060671e-19j  3.97306946+1.16997053e-18j
  -1.31076425+1.61854439e-20j -1.33645687-3.02704574e-19j]]"
"[[ 1.96747803+1.15561190e-18j  3.98080943+1.32085998e-18j
  -1.29439432+8.66862987e-19j -1.35107265+5.73602857e-19j]]"
"[[ 1.9813889 -1.08237081e-18j  3.96057606-1.53010302e-18j
  -1.29703469-2.91669952e-19j -1.37937095-3.30906933e-19j]]"
"[[ 1.98695569+4.85685690e-19j  3.96136362+5.80461346e-19j
  -1.31986866+4.85438839e-19j -1.36579859+2.95193851e-19j]]"
"[[ 2.00692446+5.76934933e-20j  3.94233995+5.58288534e-19j
  -1.16901954-4.29096140e-19j -1.30740778-7.21211206e-19j]]"
"[[ 1.95326051+7.23203572e-19j  3.99632117+7.00690030e-19j
  -1.29450815+4.71579563e-19j -1.31079344+6.82285508e-20j]]"
"[[ 1.88323292+1.97725091e-18j  3.91276618+1.82078119e-18j
  -1.24932476+1.18313030e-18j -1.3185876 +8.74989615e-19j]]"
"[[ 1.98691097-1.43463614e-18j  3.96019508-1.23932875e-18j
  -1.29494385-1.01577700e-18j -1.3876033 -9.74475574e-19j]]"
"[[ 1.982204  +2.64064774e-18j  3.97793537+2.58119962e-18j
  -1.31460073+2.17974234e-18j -1.35681886+1.72918098e-18j]]"
"[[ 1.98790739+4.06137364e-19j  3.96282351+4.52744278e-19j
  -1.32109771-6.99222465e-20j -1.3662117 -2.98355965e-19j]]"
"[[ 1.96901784+8.85151598e-19j  3.97573462+1.37273218e-18j
  -1.29489335+2.06059430e-20j -1.34262612-4.27990579e-19j]]"
"[[ 1.97365052+2.68423025e-19j  3.97158243+3.90783454e-19j
  -1.30231225+1.86952335e-19j -1.35355704-2.11457754e-20j]]"
"[[ 1.969445  +1.26983895e-18j  3.96517783+1.23540501e-18j
  -1.28917454+1.08841639e-18j -1.37344979+1.06243333e-18j]]"
"[[ 1.97741197-1.50962627e-18j  3.95952014-1.21511800e-18j
  -1.28586244-1.17520627e-18j -1.39882675-1.03625322e-18j]]"
"[[ 1.96236064+6.81310756e-19j  3.97927374+9.10335374e-19j
  -1.28030488+2.91207440e-19j -1.35936171+1.77128075e-20j]]"
"[[ 1.97050699-5.96672547e-19j  3.96923284-6.20864722e-19j
  -1.29901834-5.50141069e-19j -1.33587382-6.71139046e-19j]]"
"[[ 1.96562238-1.27746272e-20j  3.97211349-6.74557836e-21j
  -1.29995764+1.49712272e-19j -1.3515545 +2.63211713e-20j]]"
"[[ 1.9877453 +1.15583432e-18j  3.96660553+1.35779237e-18j
  -1.32729907+6.80281600e-19j -1.34861057+4.05209270e-19j]]"
"[[ 1.96921445+8.18205736e-19j  3.96527332+8.23834857e-19j
  -1.28160982+4.03817862e-19j -1.37456366+5.70094245e-20j]]"
"[[ 2.01534351-1.08919430e-18j  3.93549182-7.47408099e-19j
  -1.20308893-1.21611494e-18j -1.2796964 -1.34946390e-18j]]"
"[[ 1.9829499 +1.71115501e-18j  3.9624594 +1.73699703e-18j
  -1.28965403+1.20353027e-18j -1.38935395+8.09241620e-19j]]"
"[[ 1.98620286-2.47100153e-19j  3.94961499-5.93669462e-19j
  -1.29677269+4.08521419e-19j -1.39620638+5.47997622e-19j]]"
"[[ 2.00277437+1.11437340e-18j  3.94215531+1.50755208e-18j
  -1.20856097+3.40555325e-19j -1.27157061-7.01784581e-20j]]"
"[[ 1.96121509+1.49577765e-18j  3.9750437 +1.59246050e-18j
  -1.28624921+1.16492378e-18j -1.34628524+8.62379271e-19j]]"
"[[ 1.98673403-4.69835501e-19j  3.96437427-4.17475588e-19j
  -1.32026332-2.87978594e-19j -1.35793213-4.10434957e-19j]]"
"[[ 1.96727371+1.35149097e-18j  3.9813234 +1.51003860e-18j
  -1.30420783+8.88579406e-19j -1.3423861 +5.48216984e-19j]]"
"[[ 1.9774224 -1.21833286e-18j  3.97212201-1.75711000e-18j
  -1.29868771+1.57012880e-19j -1.35702735+4.31009773e-19j]]"
