Accuracy,F1_Scores
0.43999999999999995,0.36105514918518017
0.45666666666666667,0.3748141861578394
0.4033333333333333,0.31786592801763075
0.3966666666666666,0.32698016912567995
0.4166666666666667,0.34206747964797496
0.42000000000000004,0.340467436244526
0.44666666666666666,0.3686624957429911
0.3966666666666667,0.32014953570681126
0.4133333333333333,0.33557259355711366
0.4166666666666667,0.34169799189458633
0.42666666666666664,0.3484976619527703
0.38,0.310310230361314
0.43,0.3450792334600384
0.39333333333333337,0.32084188979235423
0.4066666666666666,0.33473691100780884
0.37666666666666665,0.31543627836096544
0.42666666666666664,0.3621356924808937
0.4033333333333333,0.3324568139119223
0.40666666666666673,0.33248917697369706
0.4166666666666667,0.34101105327421116
0.42666666666666675,0.347376055145405
0.3666666666666667,0.2981287922603712
0.4333333333333333,0.36837689709671134
0.43,0.35862732503134975
0.4066666666666666,0.3364736536253564
0.39,0.3219231485748514
0.4166666666666667,0.3433677232640081
0.43999999999999995,0.36181898235923005
0.44666666666666666,0.3603200617751702
0.39333333333333326,0.3161595550991836
