Accuracy,F1_Scores
0.6866666666666668,0.6794642024642025
0.6666666666666666,0.6486277578630519
0.6833333333333333,0.6753836425012897
0.7,0.6894716264128029
0.6333333333333334,0.6259678458796106
0.65,0.6453263752071802
0.6833333333333333,0.6682519235150814
0.6733333333333335,0.6585907425907426
0.6699999999999999,0.6606147828779407
0.6566666666666666,0.6503708601340181
0.62,0.6168365523365523
0.6533333333333333,0.6485696786873257
0.6366666666666667,0.6247327900857312
0.6399999999999999,0.6264554203965969
0.6333333333333334,0.6263777888777888
0.6866666666666668,0.6667814375167316
0.6833333333333333,0.6732826291355705
0.6599999999999999,0.6481503072091307
0.6333333333333334,0.6239240302181479
0.6933333333333334,0.6817649017649018
0.6733333333333333,0.6688355239531709
0.64,0.6239769217710395
0.6699999999999999,0.6653651283357165
0.62,0.6155557913019213
0.6066666666666667,0.6033094128094129
0.65,0.6447174198350669
0.6166666666666667,0.6016301900713665
0.7166666666666667,0.708818119788708
0.6699999999999999,0.6598168236991767
0.6366666666666667,0.6234330897860308
