Accuracy,F1_Scores
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
0.2,0.06666666666666667
