Negativity_Class_0,Negativity_Class_1,Negativity_Class_2
0.20932442742206409,0.14520930082421782,0.1266001459659164
0.20951475705900546,0.14505693478212076,0.12636123686320305
0.20937871374446138,0.14511702808573496,0.12653875083708827
0.20942538101202085,0.14518927983438562,0.126413318629672
0.2094363732374931,0.14526612719608495,0.12647482047385566
0.20936734593299405,0.14515942382742306,0.12659917268145515
0.20944927315094794,0.14510440118400164,0.1264944871628914
0.20938379404042812,0.14528318682902294,0.1265588984384411
0.20934050891469602,0.14513930294612226,0.12647200553630347
0.2093582650892071,0.1451698827306162,0.12655202294025816
0.20945522316294324,0.1451694175267097,0.12635520395060568
0.20946429471885547,0.14539786950517672,0.12652651490381195
0.20943820113130993,0.14526963593579403,0.1264497239136113
0.2094101990223099,0.1452710471056829,0.12652478107957954
0.2093726234834176,0.1452660626702296,0.1264962871661437
0.2094330915436628,0.145227208485326,0.12643315866464339
0.20942926034907378,0.145247018579599,0.12642250977943864
0.20944475463385545,0.14488358945957178,0.12643077049644622
0.20933152297318952,0.14493116084789687,0.12652569622555193
0.20930651755977214,0.1450808129296802,0.12637506009207933
0.209365161357625,0.1449329090942602,0.12641593190641437
0.20937131243805318,0.1453465922163283,0.1265341910695219
0.20949642486957704,0.14530277639479044,0.12643424542324397
0.20935824186439594,0.14533205096477259,0.12651659823860467
0.20936424149167335,0.14521933906860326,0.1265613709175944
0.20937937545567054,0.14527819816857632,0.12644400583607426
0.20925453213735076,0.1451521378732249,0.12646823138219146
0.2094189028344647,0.14507459166782505,0.12641800221047755
0.20949376908482603,0.1454516834852649,0.12647835980605773
0.20944616744929298,0.14507616569863044,0.12655547681219947
