Modelo,Media_Accuracy,Max_Accuracy,Min_Accuracy,Std_Accuracy
IQCNDsE_Coluna,0.95802,0.97190,0.93758,0.00944
IQC_AIL_Coluna,0.94917,0.96111,0.92092,0.00864
IQC_Coluna,0.94917,0.96111,0.92092,0.00864
IQCNDsE_Linha,0.55205,0.61797,0.48922,0.03344
IQC_Linha,0.50850,0.54444,0.46699,0.02031
IQC_AIL_Linha,0.50776,0.54444,0.46699,0.02026
IQCpQ_tgt2_Coluna,0.39935,0.39935,0.39935,0.00000
IQCpQ_tgt2_Linha,0.26928,0.26928,0.26928,0.00000
IQC_Angle_Linha,---,---,---,---
IQC_Angle_Coluna,---,---,---,---
