,1,2,3,4,5,6,7,8,9,10
1,1.0,1.862645149230957e-09,1.7094495621956692e-06,1.7094495621956692e-06,0.00045036180678185647,1.733306644199106e-06,,,0.00045036180678185647,1.733306644199106e-06
2,1.862645149230957e-09,1.0,9.231895913939762e-33,1.632702655462081e-47,1.733306644199106e-06,6.242994862554956e-08,,,1.733306644199106e-06,9.421018783625233e-08
3,1.7094495621956692e-06,9.231895913939762e-33,1.0,0.0,1.6890670049981201e-06,1.8445783171854062e-36,,,1.6890670049981201e-06,1.4602205376949166e-36
4,1.7094495621956692e-06,1.632702655462081e-47,0.0,1.0,1.6890670049981201e-06,1.1114722097394287e-55,,,1.6890670049981201e-06,1.0747885985651835e-55
5,0.00045036180678185647,1.733306644199106e-06,1.6890670049981201e-06,1.6890670049981201e-06,1.0,1.733306644199106e-06,,,1.0,1.733306644199106e-06
6,1.733306644199106e-06,6.242994862554956e-08,1.8445783171854062e-36,1.1114722097394287e-55,1.733306644199106e-06,1.0,,,1.733306644199106e-06,0.888037233611723
7,,,,,,,1.0,,,
8,,,,,,,,1.0,,
9,0.00045036180678185647,1.733306644199106e-06,1.6890670049981201e-06,1.6890670049981201e-06,1.0,1.733306644199106e-06,,,1.0,1.733306644199106e-06
10,1.733306644199106e-06,9.421018783625233e-08,1.4602205376949166e-36,1.0747885985651835e-55,1.733306644199106e-06,0.888037233611723,,,1.733306644199106e-06,1.0
