Modelo,Max_Accuracy,Max_F1_Scores
IQCNDsE_Coluna,0.97190,0.97305
IQCNDsE_Linha,0.61797,0.49155
IQCpQ_tgt2_Coluna,0.39935,0.19011
IQCpQ_tgt2_Linha,0.26928,0.14134
IQC_AIL_Coluna,0.96111,0.96247
IQC_AIL_Linha,0.54444,0.46960
IQC_Angle_Coluna,---,---
IQC_Angle_Linha,---,---
IQC_Coluna,0.96111,0.96247
IQC_Linha,0.54444,0.46960
