Modelo,Max_Accuracy,F1_Score_Correspondente
IQCNDsE_Coluna,0.97190,0.97267
IQC_AIL_Coluna,0.96111,0.96247
IQC_Coluna,0.96111,0.96247
IQCNDsE_Linha,0.61797,0.49155
IQC_Linha,0.54444,0.45892
IQC_AIL_Linha,0.54444,0.45892
IQCpQ_tgt2_Coluna,0.39935,0.19011
IQCpQ_tgt2_Linha,0.26928,0.14134
IQC_Angle_Linha,---,---
IQC_Angle_Coluna,---,---
