Negativity_Class_0,Negativity_Class_1,Negativity_Class_2,Negativity_Class_3,Negativity_Class_4
0.2832562308529247,0.26634177693725253,0.2944762437539751,0.3101878287470238,0.3363309720259093
0.2835123662282609,0.2662553815023285,0.29546460364300087,0.3103257983333142,0.335849802150606
0.2837839875867041,0.2664068120334737,0.29562359277111316,0.30949772947672294,0.336351604755788
0.28309783336400984,0.2664291910212848,0.29641975147857025,0.3101238139354618,0.3354070197326732
0.28341026541247927,0.26626372516135893,0.2943481434054044,0.3100901183026622,0.3363961818657035
0.2833408723342064,0.2665685594641667,0.29579176740237323,0.30995154766220034,0.3362634772709465
0.28333125107717344,0.2666546224214175,0.29370865544095126,0.3099967748896296,0.33614415761052685
0.2834543535838003,0.2665686978436738,0.2949229163753332,0.30990048313777707,0.33552683392256716
0.2831053640543608,0.26632532723584845,0.2965514245567998,0.30992228385531184,0.335438145372515
0.2830770827696252,0.26611550261523825,0.2959436359069358,0.30984356113029793,0.33563974494882814
0.28354512682601574,0.2665204073438715,0.29492401534685586,0.309932892410377,0.33544034883789314
0.28319597033098143,0.2665895028889977,0.29448710568514425,0.3099636469384571,0.33648216354077853
0.28305789894911865,0.2664618947987745,0.29454426102457376,0.3104014143735495,0.33555512084455036
0.2832913355676024,0.2667996735675467,0.2956793527359908,0.3096197210440939,0.335135252623827
0.2839515077951634,0.2662176674231205,0.2954536057406959,0.30937745384399784,0.335225637100145
0.2838709623428588,0.2661731452509631,0.29626719748591335,0.31015455071745845,0.3362737116161818
0.2830107306489598,0.2665217252429891,0.2965176918340565,0.30977829317941585,0.3358881335653964
0.28303019359046777,0.2662017471507449,0.29606437910508515,0.31035412092280695,0.33499732452910264
0.28417176944953637,0.2659660516676443,0.29567482205732,0.31023809530380875,0.3358006797169141
0.2836689896598211,0.26661129853460785,0.29637845853581246,0.3100065606557062,0.335373536392253
0.28354715559604404,0.26660134858492524,0.29599690068172013,0.30982016082503055,0.33607479086393477
0.2830818097786598,0.2665811381299887,0.2955339883521085,0.3093023843155558,0.3366436145340152
0.28247324951599445,0.26664909346846244,0.2973239720911922,0.3099031939308416,0.3354062703444833
0.28336378572512083,0.26634615019668456,0.29535589016826114,0.31027553030843735,0.3360191493869068
0.28310301982631136,0.26641488566877347,0.29550847502738675,0.31041415624748775,0.33557284509220614
0.2834750366250838,0.2664589574014359,0.2971565450855578,0.3100935999248735,0.33558461371518444
0.2833538461352586,0.2666842254246045,0.2961053152616909,0.3101840286161828,0.33547595974289546
0.2837673326628483,0.2662749912872753,0.2949738866531985,0.3105372510039591,0.3360896994742326
0.28342121431491674,0.2660166127092573,0.29384083437532194,0.3101340896363173,0.3357106397128243
0.2832406723823643,0.26626612129973837,0.2966591820032106,0.3101182984267232,0.3354155607321482
