Negativity_Class_0,Negativity_Class_1,Negativity_Class_2,Negativity_Class_3,Negativity_Class_4
0.28519271243055766,0.28362931000216857,0.31674280130895227,0.32240767523404534,0.2593405249496021
0.2848196393432988,0.2838692906306475,0.31711846623553824,0.3231757598237979,0.2578894190383231
0.28438810336462494,0.2835979469404544,0.31738655403084365,0.32350626092585466,0.2581100031676221
0.2851677103485784,0.2836919423939902,0.3174810642132373,0.32353486412527255,0.2589365325615954
0.28501032192497094,0.283975023645635,0.31666914334113483,0.32332986807438596,0.2588310072479322
0.2853603011811403,0.2838857780488233,0.31743078328592433,0.3229513712615294,0.2595106678153908
0.2849283057449444,0.28431872507714717,0.3169521311987096,0.32348594314904905,0.2581232441133904
0.28476046704581515,0.28420286170791187,0.31729203803057354,0.3231339026534575,0.2595218588871692
0.2847690721536468,0.2834724368554799,0.31761529179538295,0.3231632367251213,0.258189572741911
0.2847703349800277,0.28430838360326555,0.31676642960553336,0.3221844043750771,0.2596338107172607
0.28408826007550825,0.2835870495456284,0.3180098824343791,0.3229174871608099,0.25696031764560595
0.2847680446680381,0.2839641926537756,0.31616807898965504,0.32352694869515486,0.25775820561627766
0.2852651727483185,0.2836665112652074,0.3166617620643357,0.32297963492868276,0.2590788439719764
0.28513078526455027,0.2840036085885546,0.3169846198619198,0.32364281315247206,0.2585092995723763
0.28442242311943133,0.2841562644698922,0.3172169983175605,0.32292771439234297,0.2576910923397706
0.28511050007760896,0.2839466693099452,0.3168123153878297,0.32292765448756683,0.2588467844892303
0.28458442491319885,0.2836360650643347,0.3172481030922908,0.3233821698783152,0.2585926337367676
0.28498131752007333,0.28389575389323335,0.31761986901385686,0.32291420950181865,0.2594372668190066
0.2848708796734779,0.2838907262524526,0.31731219533398514,0.3227423754412587,0.25848825819543125
0.28473865499094936,0.28346892450605377,0.3172343764566287,0.3233979401880739,0.25836243115497015
0.28529102418783997,0.2837857738152799,0.31701490415937145,0.32364627210466174,0.25925807305268583
0.28462736219966533,0.2837540998266439,0.31830407935982613,0.32320400488437834,0.2582177141107866
0.28466046578469517,0.2841897187824683,0.31684509519753673,0.3230386009783792,0.2580893809029709
0.28475235815960104,0.2838696191343171,0.3174065125972069,0.32313530069169627,0.25788365387384415
0.2850059895344291,0.2838566523079631,0.31772259756359633,0.3225233344942008,0.2586934663737614
0.2846620175274634,0.2834086885899132,0.3176752106605071,0.32252102076542855,0.25839010271364826
0.28507092220156177,0.28395758756790945,0.3165907803490585,0.3228220496844131,0.2596956746065625
0.28444972610285746,0.28410466803388,0.3171673050134153,0.32276810953006063,0.2592700550024506
0.2850969037418297,0.28398024754540957,0.3168496929748529,0.32269582429034677,0.25994160921332693
0.28462343268880436,0.28412576357192876,0.31749539437510255,0.3222780216105132,0.25885075322538775
